diagnostics_Image-original_Hash,439265379db56331becb6f94ba34c6466c6bcab1,9ce71715a2e3fa4997c9f0a2b822edb008677ea6,f1287f18e2682f1cfea66468c5d7e17796b54bb7,2b467b76694c3fdd6d70e2d67d72c72b72d7995b,2c16a66054cfa07992c5f03f31b16285b5e5ec5d,e9faf55378425873bfb19ca07fed6aeac6e295e9
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 245)","(512, 512, 245)","(512, 512, 229)","(512, 512, 249)","(512, 512, 249)","(512, 512, 249)"
original_shape_Maximum2DDiameterSlice,42.19004622,42.43819035,39.39543121,50.53711507,62.96824597,49.24428901
original_shape_Maximum3DDiameter,42.73172124,46.05431576,46.66904756,51.97114584,63.63175308,49.85980345
original_shape_MeshVolume,9733.833333,10649.83333,8449.458333,10288.58333,19452.20833,10654.29167
original_shape_MinorAxisLength,25.029589,24.82106267,23.95360876,22.86233029,28.46963435,24.97163471
original_shape_Sphericity,0.590664005,0.592636563,0.571854702,0.584457912,0.561867876,0.574082478
original_shape_SurfaceArea,3732.49776,3949.943558,3508.199971,3914.124199,6225.332182,4078.741864
original_shape_SurfaceVolumeRatio,0.383456099,0.370892523,0.415198209,0.380433736,0.320032157,0.382826188
original_shape_VoxelVolume,9833,10740,8542,10380,19684,10725
original_firstorder_10Percentile,-938,-936,-950,-938,-944,-937
original_firstorder_90Percentile,-71,-81,-100,-88,-97,-98
original_firstorder_Energy,5123836806,5657174255,4555423084,5145341403,9865810691,4896947122
original_firstorder_Entropy,4.749621991,4.767910083,4.678025824,4.606053016,4.550296531,4.515098875
original_firstorder_InterquartileRange,663,610,687,746,752,759
original_firstorder_Kurtosis,1.969879442,2.543775017,1.954054649,1.534255016,1.507404896,1.288263901
original_firstorder_Maximum,494,1371,980,205,771,231
original_firstorder_MeanAbsoluteDeviation,314.5886665,304.4112582,321.6451224,339.4442845,343.3066677,352.8283302
original_firstorder_Mean,-629.9277942,-637.8393855,-637.7038164,-602.3135838,-605.5808271,-565.7075991
original_firstorder_Median,-831,-828,-856,-837,-845,-795
original_firstorder_Minimum,-1006,-1015,-1018,-1024,-1019,-1003
original_firstorder_Range,1500,2386,1998,1229,1790,1234
original_firstorder_RobustMeanAbsoluteDeviation,260.9963417,245.797713,271.1479313,299.4465316,306.0420188,323.9023977
original_firstorder_RootMeanSquared,721.8627388,725.7677021,730.271876,704.0579737,707.9616141,675.7157733
original_firstorder_Skewness,0.798766562,0.928139215,0.744140278,0.552336961,0.528262222,0.318031803
original_firstorder_TotalEnergy,5123836806,5657174255,4555423084,5145341403,9865810691,4896947122
original_firstorder_Uniformity,0.055990166,0.054996827,0.063306896,0.06265831,0.064681106,0.063686913
original_firstorder_Variance,124276.7878,119899.6758,126630.8554,132915.9771,134481.5089,136566.7186
original_glcm_Autocorrelation,422.5872201,402.177953,415.1774697,480.9634875,486.6253902,552.1555636
original_glcm_ClusterProminence,1101771.535,1139483.2,1059746.989,1009898.785,1018563.833,919656.8937
original_glcm_ClusterShade,16416.13432,16709.88176,14959.32409,12939.65439,12697.46199,7906.382842
original_glcm_ClusterTendency,722.5437644,685.0039628,732.1036207,792.6558809,814.5129878,836.6314031
original_glcm_Contrast,40.13572885,42.00326452,45.39835875,40.9125613,28.37125609,31.77262636
original_glcm_Correlation,0.894341392,0.883929935,0.882812874,0.901610792,0.932575209,0.926743239
original_glcm_DifferenceAverage,3.546507518,3.672770287,3.79349123,3.532696789,2.888819347,3.036421199
original_glcm_DifferenceEntropy,3.22700295,3.271612506,3.277926937,3.193353065,2.956068284,2.997935062
original_glcm_DifferenceVariance,26.47572003,27.2514861,29.37262238,27.06780748,19.16717808,21.5916381
original_glcm_Id,0.470583812,0.452699676,0.468936734,0.462677415,0.493309286,0.489241079
original_glcm_Idm,0.418217975,0.396884798,0.418175866,0.408219656,0.442612132,0.439049606
original_glcm_Idmn,0.990044883,0.99560488,0.993410036,0.985565325,0.994805897,0.989031034
original_glcm_Idn,0.950406602,0.96562854,0.958913283,0.941633735,0.964410213,0.949831564
