diagnostics_Image-original_Hash,439265379db56331becb6f94ba34c6466c6bcab1,9ce71715a2e3fa4997c9f0a2b822edb008677ea6,f1287f18e2682f1cfea66468c5d7e17796b54bb7,2b467b76694c3fdd6d70e2d67d72c72b72d7995b,2c16a66054cfa07992c5f03f31b16285b5e5ec5d,e9faf55378425873bfb19ca07fed6aeac6e295e9
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 245)","(512, 512, 245)","(512, 512, 229)","(512, 512, 249)","(512, 512, 249)","(512, 512, 249)"
original_shape_Maximum2DDiameterSlice,39.05124838,44.20407221,42.72001873,47.20169488,61.40032573,43.93176527
original_shape_Maximum3DDiameter,42.3083916,44.46346815,44.18144407,47.2546294,62.27358991,45
original_shape_MeshVolume,10671.375,11638.29167,10914.91667,9945.375,18559.04167,10503.20833
original_shape_MinorAxisLength,25.96910122,27.42322608,27.20121328,22.46641282,28.73166162,25.75602528
original_shape_Sphericity,0.598355466,0.605090345,0.609071556,0.596237518,0.567631111,0.590642342
original_shape_SurfaceArea,3917.464921,4104.466601,3906.874155,3750.98735,5972.025209,3926.818851
original_shape_SurfaceVolumeRatio,0.367100296,0.352669165,0.357938981,0.377158966,0.321785215,0.37386851
original_shape_VoxelVolume,10748,11733,10971,10052,18707,10604
original_firstorder_10Percentile,-841,-845,-864,-870,-870,-883
original_firstorder_90Percentile,-61,-403,-384,-443.1,-452,-372.3
original_firstorder_Energy,4736918348,6130590911,5974845187,5763547729,10792706551,6209999712
original_firstorder_Entropy,4.742047311,4.278521212,4.268324231,4.063571754,4.022250079,4.10841893
original_firstorder_InterquartileRange,343,138,149,122,116,122
original_firstorder_Kurtosis,2.946083437,6.628893306,6.447934656,7.079220266,7.21016754,6.657956848
original_firstorder_Maximum,168,200,199,117,153,233
original_firstorder_MeanAbsoluteDeviation,236.5281457,140.9587758,148.8500627,139.0908057,139.1468834,151.4087101
original_firstorder_Mean,-597.9866022,-693.6109264,-706.1575973,-728.554815,-730.5343989,-732.1729536
original_firstorder_Median,-733,-766,-784,-805,-807,-816
original_firstorder_Minimum,-931,-1002,-974,-960,-959,-976
original_firstorder_Range,1099,1202,1173,1077,1112,1209
original_firstorder_RobustMeanAbsoluteDeviation,167.8552843,69.75880784,73.92881012,61.60542676,59.74754995,66.18778594
original_firstorder_RootMeanSquared,663.8716463,722.8474165,737.9725721,757.2141257,759.5617936,765.263378
original_firstorder_Skewness,1.157200267,2.040314097,2.034900898,2.205654707,2.24419758,2.143860931
original_firstorder_TotalEnergy,4736918348,6130590911,5974845187,5763547729,10792706551,6209999712
original_firstorder_Uniformity,0.054316559,0.077388642,0.076957032,0.091803561,0.096222703,0.090517734
original_firstorder_Variance,83137.58635,41412.27025,45944.96495,42581.11369,43253.61034,49550.80373
original_glcm_Autocorrelation,334.6352902,231.7140728,171.7086256,151.3314595,155.7064938,182.8631143
original_glcm_ClusterProminence,735837.0194,342545.3791,397157.2898,399025.8925,452543.7009,536921.0023
original_glcm_ClusterShade,12644.89809,6783.617113,7740.246945,7823.156652,8717.407332,10048.30081
original_glcm_ClusterTendency,500.3157774,218.2186767,237.076893,221.8311731,237.5204459,269.4215963
original_glcm_Contrast,35.60310283,29.01596883,26.1092301,20.60778414,16.54665608,18.56503729
original_glcm_Correlation,0.867157352,0.763091835,0.797759514,0.827664794,0.868714237,0.868675784
original_glcm_DifferenceAverage,3.758975487,3.294806392,3.150193619,2.780779694,2.463771219,2.621753406
original_glcm_DifferenceEntropy,3.430531386,3.252185513,3.206313495,3.045666912,2.887036664,2.962629473
original_glcm_DifferenceVariance,20.91626658,17.807714,15.8287535,12.65184865,10.27117379,11.4646527
original_glcm_Id,0.408670282,0.424830294,0.437675449,0.452728543,0.477558313,0.466733402
original_glcm_Idm,0.341017785,0.357234775,0.372265844,0.388412265,0.417782459,0.405668706
original_glcm_Idmn,0.984173851,0.989406833,0.989167449,0.990280486,0.992736899,0.993039295
original_glcm_Idn,0.930034126,0.94326068,0.942337113,0.945231418,0.952781462,0.953646796
original_glcm_Imc1,-0.212850497,-0.156080794,-0.172684351,-0.168110296,-0.190404268,-0.198787479
original_glcm_Imc2,0.923528888,0.843862709,0.863116077,0.851438431,0.871372983,0.88722162
original_glcm_InverseVariance,0.317233272,0.340499775,0.340775519,0.361476632,0.381496833,0.375691844
original_glcm_JointAverage,14.77978182,13.57925082,10.90582048,10.0502329,10.02267562,10.96005591
original_glcm_JointEnergy,0.007698362,0.011181065,0.012180735,0.015082314,0.017684914,0.016055399
original_glcm_JointEntropy,8.512227156,7.837136641,7.700052934,7.358222504,7.203402635,7.312988669
original_glcm_MCC,0.873112411,0.77473133,0.809136323,0.848616956,0.888179803,0.882574365
original_glcm_MaximumProbability,0.032269213,0.03611326,0.038105923,0.044383605,0.053320247,0.04866875
original_glcm_SumAverage,29.55956365,27.15850164,21.81164095,20.10046579,20.04535124,21.92011182
original_glcm_SumEntropy,5.73476924,5.175421828,5.147261762,4.924128392,4.890813485,4.982191508
original_glcm_SumSquares,133.9797201,61.80866139,65.79653077,60.60973931,63.5167755,71.9966584
original_gldm_DependenceEntropy,7.762667644,7.355616719,7.413066389,7.222161993,7.316255937,7.312315756
original_gldm_DependenceNonUniformity,1153.568664,1221.978096,1066.876219,950.7180661,1598.602822,952.2148246
original_gldm_DependenceNonUniformityNormalized,0.107328681,0.104148819,0.097245121,0.094579991,0.085454794,0.089797701
original_gldm_DependenceVariance,11.23722948,9.797368781,12.80216682,11.01451968,13.16594078,12.15554958
original_gldm_GrayLevelNonUniformity,583.7943803,908.0009375,844.2955975,922.8093912,1800.038114,959.8500566
original_gldm_GrayLevelVariance,133.0572529,66.40750613,73.54620385,68.19190702,69.32643163,79.37369958
