0,BEPreN3,BEPreN4,BEPreN2,BEPre,BEPreN1,BEPreN5,BEPreN6,BEPreN7,BJPreN2,BJPreN3,BJPreN1,BJPre,CTPre,CTPreN1,FJPre,FJPreN1,LKPre,LKPreN1,LKPreN2,LKPreN3,LKPreN4,LKPreN5,LKPreN6,HDPreN6,HDPreN3,HDPreN4,HDPre,HDPreN5,HDPreN2,HDPreN1,MBPre,MBPreN1,SBPre,SBPreN2,SBPreN1,SBPreN3,SWPre,SWPreN1
original_gldm_LargeDependenceHighGrayLevelEmphasis,1607.264859,1536.878921,1064.335011,1856.53964,6312.482198,1288.930765,1417.977221,1116.561404,3806.566938,1727.76104,4401.507271,4129.779361,1175.26881,1545.597688,1225.689688,1308.105756,1890.447173,1851.704983,1812.902958,6136.45322,2184.037491,3835.040385,1623.948225,2184.411382,1605.559839,2378.223193,2899.253004,1321.861185,1920.613025,7907.30054,2011.361755,1506.161609,249438.5034,2090.287041,2364.966095,1627.226323,1299.892248,1407.768079
original_gldm_LargeDependenceLowGrayLevelEmphasis,3.743889705,1.930725762,11.38274174,2.058706686,0.570757812,8.555655348,7.828700962,9.359933398,2.264059529,5.731939906,3.230443127,0.603374671,36.34173127,11.5859529,6.638850075,7.462952799,11.12915819,35.28226909,22.29506584,3.736391834,7.337793478,14.8741149,0.111405983,9.656640319,6.313011465,15.19614696,8.709621162,5.050254816,5.931979523,1.391615938,9.765361372,4.608416584,0.048650807,6.062406649,0.059249769,3.492201887,9.190505038,8.891802255
original_gldm_LowGrayLevelEmphasis,0.057515219,0.040909712,0.12341909,0.036659818,0.011835015,0.10256105,0.08832207,0.11293607,0.026499496,0.070626711,0.02970729,0.015146926,0.215230278,0.097077714,0.087076186,0.08953493,0.089934276,0.168213869,0.124970238,0.026844602,0.067545224,0.066356469,0.011059104,0.07970807,0.083110465,0.09709607,0.063520435,0.083619963,0.068244202,0.014290432,0.078639324,0.063746974,0.001475677,0.061234501,0.006355024,0.056517037,0.096843951,0.088532026
original_gldm_SmallDependenceEmphasis,0.068363947,0.090163322,0.04753328,0.082506806,0.102640491,0.059568774,0.047631563,0.052986084,0.053432495,0.050747762,0.042779809,0.092288734,0.027838272,0.040325782,0.063232469,0.052530604,0.031420521,0.018835896,0.023442343,0.034507277,0.037424335,0.018684857,0.280116085,0.036628405,0.059331015,0.0263487,0.030524119,0.059273327,0.054491237,0.052842572,0.039861818,0.066502929,0.102213569,0.04299684,0.309185073,0.058015314,0.054915948,0.048280906
original_gldm_SmallDependenceHighGrayLevelEmphasis,1.546130186,2.89472988,0.594767439,3.429556045,9.044147527,1.03501765,0.73454541,0.717629129,2.342074765,1.063423511,1.577143188,7.693510502,0.209461546,0.636100925,1.234253054,0.828415983,0.4720947,0.156319297,0.22683928,1.23846053,0.694835328,0.288279797,38.44579413,0.654990156,1.102991811,0.356370357,0.57277861,1.244922923,1.146615008,3.900366902,0.626900608,1.469075801,173.0523161,0.876551166,69.75798412,1.40069241,0.770928814,0.762404413
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.005790311,0.005651029,0.008991455,0.00417263,0.002775425,0.011442281,0.006436417,0.011146888,0.001904669,0.005247811,0.001701824,0.001908092,0.010963274,0.00514397,0.008406197,0.007180207,0.00458335,0.004698517,0.004405227,0.001688725,0.003833065,0.002029437,0.004461677,0.004360832,0.007156443,0.004306952,0.002988515,0.007877124,0.005674472,0.001578929,0.004810209,0.007044986,0.000471647,0.004002131,0.002620663,0.005357017,0.009577224,0.005978172
original_glrlm_GrayLevelNonUniformity,349.8720788,327.8787366,408.1454606,540.4325409,213.9243201,363.6618245,489.0491038,343.8866573,716.675141,450.4960396,590.8399896,667.992323,651.3149735,548.9238096,631.7452936,495.791177,526.2206022,513.7950224,586.8146825,489.5960153,508.003842,506.8900408,243.5952792,324.3122052,208.6813319,377.2228781,299.3235869,387.1040406,347.8498701,347.6463105,353.4393274,557.2499175,395.7244326,447.3220652,210.5196793,421.1442002,475.387936,632.0631307
original_glrlm_GrayLevelNonUniformityNormalized,0.272472331,0.228754936,0.334492434,0.232653125,0.21332599,0.316073909,0.323294402,0.320736861,0.274654669,0.264662999,0.302289422,0.191860019,0.404254651,0.327851121,0.279696408,0.315634452,0.310817506,0.45821301,0.385455318,0.323821885,0.288090978,0.375467196,0.098110782,0.275530612,0.235172682,0.320882527,0.329216021,0.231028581,0.2692403,0.303975232,0.349740378,0.279648233,0.229028306,0.292952006,0.08866983,0.251417737,0.339400247,0.341074745
original_glrlm_GrayLevelVariance,1.053470196,1.517702119,0.669625866,1.670934948,2.454941144,0.951250188,0.733556348,0.766260273,1.084232241,1.122278282,0.89969607,2.437682788,0.464232276,0.724329378,1.052999455,0.765754852,0.785738432,0.340081343,0.500170968,0.797343823,0.94560822,0.526962323,8.033449643,1.016534807,1.38367415,0.763311532,0.745118294,1.458984267,1.074088835,0.960119817,0.62368373,1.016328749,40.31749908,0.885150265,10.4173962,1.222215078,0.678310905,0.665692877
original_glrlm_HighGrayLevelRunEmphasis,21.65712986,30.92615684,10.77028296,33.8276468,102.4832694,13.46869642,14.0409923,12.0254178,42.18660296,18.52698606,37.6162871,85.5864302,6.438709831,13.21479095,15.65154981,14.23448287,14.23865289,6.822944685,9.630412718,40.26450314,18.37842256,17.14045785,132.1180013,16.8768053,17.87842629,12.98943566,18.65681695,18.86654144,19.42489574,77.04369744,14.99752065,19.89441132,2219.096316,19.80063755,217.4669246,22.70128567,13.10222148,13.89752406
