0,BEPreN3,BEPreN4,BEPreN2,BEPre,BEPreN1,BEPreN5,BEPreN6,BEPreN7,BJPreN2,BJPreN3,BJPreN1,BJPre,CTPre,CTPreN1,FJPre,FJPreN1,LKPre,LKPreN1,LKPreN2,LKPreN3,LKPreN4,LKPreN5,LKPreN6,HDPreN6,HDPreN3,HDPreN4,HDPre,HDPreN5,HDPreN2,HDPreN1,MBPre,MBPreN1,SBPre,SBPreN2,SBPreN1,SBPreN3,SWPre,SWPreN1
original_glszm_SizeZoneNonUniformity,37.50526316,50.74647887,24.64516129,71.72115385,50.98412698,31.75,24.58695652,20.52631579,48.9030303,31.06060606,27.70175439,109.0574713,19.60273973,25.79120879,60.47727273,31.35643564,17.36923077,8.785714286,8.490196078,16.57333333,22.8,10.875,333.7637292,13.52830189,16.61904762,13.24390244,9.96969697,31.2962963,25.82608696,25.02531646,16.10204082,61.3125,116.6104869,21.14457831,373.7259786,29.03703704,29.96226415,33.63414634
original_glszm_SizeZoneNonUniformityNormalized,0.394792244,0.35736957,0.397502601,0.34481324,0.404635928,0.360795455,0.267249527,0.270083102,0.296382002,0.313743496,0.242997845,0.313383538,0.268530681,0.283419877,0.343620868,0.310459759,0.267218935,0.31377551,0.166474433,0.220977778,0.253333333,0.33984375,0.426262745,0.255250979,0.263794407,0.323022011,0.302112029,0.289780521,0.280718336,0.316776158,0.328613078,0.383203125,0.436743397,0.254753956,0.443328563,0.268861454,0.282662869,0.273448344
original_glszm_SmallAreaEmphasis,0.649063089,0.619988601,0.649364136,0.607753414,0.661008583,0.617888075,0.529072826,0.53148719,0.559989863,0.572987962,0.492819592,0.579333098,0.508044666,0.546187324,0.607484438,0.577185079,0.531368821,0.568753294,0.395207418,0.460313936,0.493313111,0.593575034,0.678826375,0.514321819,0.522777616,0.586119959,0.545928532,0.545400873,0.537201718,0.580800953,0.589084326,0.641857993,0.685101154,0.510365489,0.692534281,0.530713418,0.536347851,0.536533186
original_glszm_SmallAreaHighGrayLevelEmphasis,15.70472189,20.08693868,9.377699266,28.98050105,53.22978095,12.5731887,8.624055484,7.804666916,25.57539224,13.50680294,18.22963524,47.17816679,4.382309322,9.993546892,13.58422507,9.603964431,8.508340074,6.039536148,3.928889711,14.06918705,8.993291899,7.772732041,95.28346002,9.849003003,9.998977514,8.235584302,10.22074265,12.69135593,11.8773479,40.20261463,9.805887883,14.97728494,1036.594368,10.26163467,159.2328241,13.8969679,7.617115337,8.898314742
original_glszm_SmallAreaLowGrayLevelEmphasis,0.065689956,0.049300425,0.148812795,0.038649589,0.02400036,0.147945155,0.092852549,0.151559757,0.024477067,0.071676222,0.021937593,0.01288012,0.235844878,0.073407875,0.096791392,0.099837563,0.10619803,0.197040628,0.107529849,0.035789471,0.066796744,0.099959335,0.012666278,0.08231158,0.071709379,0.137088979,0.075072019,0.083482974,0.069057392,0.026059585,0.091532401,0.086334501,0.00331165,0.064194101,0.006602421,0.067917455,0.126276168,0.081049201
original_glszm_ZoneEntropy,4.24517019,4.533252904,3.172187085,4.872718937,4.868172284,4.087522385,4.033801812,4.044036958,4.802987423,4.309799272,4.566124592,5.213470897,3.780863501,4.133594603,4.391142834,4.130438675,4.462366422,3.462659049,4.321565479,4.519024594,4.722960213,3.804229297,5.673051814,4.326398286,4.562431861,3.993743542,3.977143182,4.694263223,4.435482447,4.393492264,3.823921967,4.107912438,6.107387307,4.499089396,5.750108602,4.584335276,3.848489736,4.055105105
original_glszm_ZonePercentage,0.054818234,0.078150798,0.034675615,0.069287142,0.09752322,0.052980132,0.04191344,0.049382716,0.044715447,0.04085844,0.038552587,0.079981613,0.0249658,0.035067437,0.056015277,0.045069166,0.024181548,0.012237762,0.018398268,0.030376671,0.033407572,0.011856243,0.289571006,0.028726287,0.05060241,0.019893256,0.022029372,0.047745358,0.049515608,0.047390522,0.030721003,0.058500914,0.107271997,0.036709421,0.32852689,0.048021343,0.051682106,0.044923302
original_glszm_ZoneVariance,8172.520332,4830.570968,18117.74818,8997.985854,2627.872008,10231.33665,17376.12134,10118.74013,22146.95868,14704.613,23063.11026,8957.583325,49141.9422,24851.39259,15477.89863,15636.8062,32990.38249,84593.41837,67232.62053,27172.36693,22151.79556,85302.78809,171.2031271,16514.64365,4937.99093,31871.41582,21761.87511,9842.978395,9060.505198,10539.0024,18603.88005,12936.83496,5921.326965,17198.207,126.0419645,11445.42275,13973.62344,21347.70467
original_ngtdm_Busyness,5.97571042,4.886572445,16.29580734,3.680608092,0.692740394,5.397516595,13.81618002,11.14068355,6.081470046,10.56316705,5.730577189,3.529721235,49.55143759,16.09842001,10.52115523,14.51011265,14.73590983,21.4156039,17.50611925,4.368489606,8.699745962,11.36911396,1.869061232,9.41427947,5.7166065,11.10484997,6.920070719,10.97548532,8.078806258,1.718321625,8.165430355,10.03672656,0.080864043,9.020358594,1.050202144,7.420844325,14.12873885,14.48788136
original_ngtdm_Coarseness,0.003671351,0.003523036,0.003735072,0.002133695,0.005489335,0.003545651,0.002823282,0.003988403,0.00185572,0.002939739,0.002271824,0.001607214,0.002148922,0.002555907,0.002084809,0.002747821,0.002729731,0.002728521,0.00306917,0.002826372,0.002723472,0.002817708,0.002113351,0.004277334,0.006103199,0.003780238,0.004933043,0.00319925,0.003600032,0.004031,0.004331168,0.002316855,0.003081292,0.003081119,0.002481081,0.003056449,0.002787456,0.002076217
original_ngtdm_Complexity,18.60181941,29.15457266,5.38953552,110.6906598,110.9424381,35.49568882,8.655321225,8.580188442,28.37735072,12.16831119,21.35674103,85.85369516,2.463249732,7.560769598,31.65957322,8.918733014,7.100265499,4.068382334,3.848772006,19.09254063,14.64743019,5.913147236,391.7784471,7.103685309,11.76053021,6.248256834,6.914519604,12.82149563,12.49674286,39.23771434,7.49001235,18.69294183,1191.748394,11.68874186,534.6238291,18.85402693,8.740121224,12.69689746
original_ngtdm_Contrast,0.022490198,0.032238462,0.030620422,0.011565061,0.012955335,0.010676096,0.023823315,0.025238396,0.012505421,0.028299949,0.011459399,0.022397808,0.025393298,0.020462957,0.016169124,0.026137835,0.021258812,0.010002024,0.012985922,0.008440895,0.015435381,0.010488362,0.095444335,0.028955993,0.036182003,0.018537345,0.018194916,0.043271259,0.028032317,0.008349904,0.015991772,0.02131652,0.021428471,0.020054369,0.094486708,0.02707681,0.021844871,0.015477548
original_ngtdm_Strength,0.084672789,0.094984442,0.026399414,0.492592652,0.854976053,0.307203794,0.033601572,0.047843028,0.089943638,0.047373715,0.095368225,0.145973517,0.011029224,0.032252298,0.154294589,0.032129615,0.034134776,0.030227756,0.023098896,0.138529841,0.071195379,0.046607139,0.259802527,0.054118698,0.096061128,0.050160896,0.076836426,0.04836822,0.062023149,0.389514255,0.054851874,0.052974288,28.19020776,0.05490467,0.437152861,0.064524335,0.035102548,0.041567718
