0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,4,5,6,7,8,9
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 197)","(512, 512, 233)","(512, 512, 253)","(512, 512, 245)","(512, 512, 257)","(512, 512, 281)","(512, 512, 289)","(512, 512, 225)","(512, 512, 221)","(512, 512, 249)","(512, 512, 217)","(512, 512, 261)","(512, 512, 236)","(512, 512, 253)","(512, 512, 249)","(512, 512, 261)","(512, 512, 269)","(512, 512, 261)","(512, 512, 257)","(512, 512, 193)","(512, 512, 297)","(512, 512, 261)","(512, 512, 213)","(512, 512, 225)","(512, 512, 221)","(512, 512, 217)","(512, 512, 241)","(512, 512, 253)","(512, 512, 253)","(512, 512, 277)","(512, 512, 245)"
diagnostics_Image-original_Mean,-857.9329863223933,-926.8579825700097,-866.5578390882891,-910.1582839031609,-881.1788780420206,-947.1501806130188,-1020.2527602832622,-899.5600181918674,-861.8466943421515,-966.7103192432817,-793.5866659665437,-1023.7465162459918,-877.6823636879355,-1034.0711579303968,-1038.2306634834015,-983.9740980886409,-1020.2714182630348,-953.6256283142558,-974.8684155950286,-850.8201223580949,-1001.7269459477177,-1040.1109351234875,-869.4543753431436,-1015.3250833977594,-859.7338772769427,-881.6160811850552,-947.0080167683328,-1084.4999039088314,-1119.914362096975,-1078.4728544627717,-989.4958213183345
diagnostics_Image-original_Minimum,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3046.0,3071.0,2971.0,2524.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,2903.0,3071.0,2627.0,3071.0,3071.0,2723.0,3071.0,2897.0,3071.0,3071.0,2597.0,3071.0,3071.0,3071.0,2148.0,3071.0,2791.0
diagnostics_Mask-original_Hash,0bb908b68388d5b756ced17bcf23254c2a31803e,1eb90dca98b0bd06e361d94db64a45fcb8d40cd7,e70692fae0268882d17635d1826c7a14a4d22bdd,1c43e85c0026c98a764f0a87313c1728b3bcbb3a,2e5fb3c308ded4476c10df08374a54b822cc7491,6523c43ce7705e5b9bb76ba02c5f3f924032ee8d,b3e608eedf7a13b343fd8df24819001fab445b23,ef4418a0d5537c02ebc41ff0ab1f0ab2fca8c558,78c5729326fdef29c6732ce71a06313ae4815c8c,c99acd7f2e2c17f67f33df5ebfab026f80390111,23178683b58252414aae3830233fd77e22f5db05,670eba001a9e6cb00e2061c64b383fcafa1baab7,387b1ed6be4a733246e01abf4ac08583f917b0c3,22e1121002e5ad241bab1c167860b6a9e155718f,7c70b19d2b558ef818c90ac5a2d9ede24050a728,d5c855c30d2977d70b2233bc1e8b2c5a3c0cbb5b,b0245f656e99fe0d995bbb392a3e1d6d6afb2265,dabbe13447602f6708e9fa378fb8d248f76f77d7,5e2cd2564a9f2fefeec6a145fc3e5ee1b3853c4d,9675cd2250af75c7d97b402d73fe8b6e4ab14808,6b5ac64f6fea4f2335f191c558018900a6fe3879,61f1aa6e201ce7409013c0d5df52d608b25059ba,2ee0e159ef9218151389062d68c2d20b805695b9,53a7eb631e4c8c90a8a21c576e7cd908bee710df,871d58f232a0a91be77dbd42acf562c014db4ad4,18e36e5b1080cfb21ede7c5f9f9efbdbeeaa7a95,f2057e7996d071d9f9a78d4ab5af1e8107a7d9b9,0d2c29144a07360e08f55c07b36b9c276db050f6,8d3052a9aaf326279bb62a21953e68bc4f087ea6,b4ad1aa77f56dc809b040729a52bd9f6b4f7d61c,340da9a3bc5d63e73ca3cfe091dfb6b568f822d6
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 197)","(512, 512, 233)","(512, 512, 253)","(512, 512, 245)","(512, 512, 257)","(512, 512, 281)","(512, 512, 289)","(512, 512, 225)","(512, 512, 221)","(512, 512, 249)","(512, 512, 217)","(512, 512, 261)","(512, 512, 236)","(512, 512, 253)","(512, 512, 249)","(512, 512, 261)","(512, 512, 269)","(512, 512, 261)","(512, 512, 257)","(512, 512, 193)","(512, 512, 297)","(512, 512, 261)","(512, 512, 213)","(512, 512, 225)","(512, 512, 221)","(512, 512, 217)","(512, 512, 241)","(512, 512, 253)","(512, 512, 253)","(512, 512, 277)","(512, 512, 245)"
diagnostics_Mask-original_BoundingBox,"(275, 279, 132, 37, 34, 5)","(271, 260, 149, 37, 36, 5)","(295, 282, 164, 37, 36, 5)","(285, 265, 150, 31, 32, 5)","(312, 262, 129, 38, 40, 5)","(305, 300, 163, 37, 38, 5)","(274, 274, 174, 33, 32, 5)","(307, 277, 147, 41, 40, 5)","(316, 246, 145, 28, 23, 5)","(310, 262, 131, 36, 35, 5)","(290, 278, 86, 43, 42, 5)","(290, 261, 141, 33, 34, 5)","(316, 274, 140, 41, 41, 5)","(306, 328, 97, 45, 45, 5)","(289, 264, 161, 29, 28, 5)","(264, 253, 150, 36, 35, 5)","(301, 262, 169, 33, 33, 5)","(312, 226, 147, 42, 41, 5)","(282, 291, 154, 30, 29, 5)","(343, 298, 100, 40, 40, 5)","(300, 268, 193, 34, 34, 5)","(301, 258, 169, 32, 32, 5)","(290, 253, 126, 40, 39, 5)","(301, 286, 135, 33, 32, 5)","(318, 269, 142, 32, 32, 5)","(313, 277, 135, 42, 40, 5)","(325, 271, 144, 38, 37, 5)","(286, 275, 156, 33, 33, 5)","(298, 271, 157, 21, 20, 5)","(297, 268, 177, 32, 31, 5)","(305, 276, 145, 34, 34, 5)"
diagnostics_Mask-original_VoxelNum,4149,4447,4733,3647,5425,5184,3524,6116,2086,4810,6301,4082,6046,7496,3017,4811,3900,6054,3119,5926,4179,3531,5199,4075,3633,5604,5137,3793,1414,3404,4089
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(292.61412388527356, 295.55603759942153, 134.00096408773197)","(289.87249831346975, 277.47964920170904, 151.05127051945132)","(313.57722374815125, 299.25375026410313, 166.00781745193322)","(299.9766931724705, 280.4236358650946, 152.0008225939128)","(330.80755760368663, 281.4790783410138, 130.99981566820276)","(323.4064429012346, 317.9728009259259, 164.99672067901236)","(290.20431328036324, 289.3240635641317, 176.00397275822928)","(327.1978417266187, 296.4540549378679, 148.99509483322433)","(329.59252157238734, 256.8557046979866, 147.00095877277084)","(327.0883575883576, 279.1702702702703, 132.9860706860707)","(310.9922234565942, 298.51515632439293, 88.00111093477226)","(306.20749632533074, 277.4331210191083, 143.00073493385597)","(336.09063843863714, 293.8706582864704, 141.99669202778696)","(327.5569637139808, 350.53908751334046, 99.00320170757738)","(302.9711634073583, 277.22008617832284, 163.0122638382499)","(281.6678445229682, 269.9197672001663, 152.00748285179796)","(316.85076923076923, 277.89846153846156, 171.0048717948718)","(332.6513049223654, 246.33795837462836, 149.03551370994384)","(296.6489259378006, 304.89131131773, 155.9980763065085)","(362.4083698953763, 316.9235572055349, 101.99763752953088)","(316.49294089495095, 284.97128499641065, 195.00646087580762)","(316.1996601529312, 273.66468422543187, 170.99660152931182)","(309.8561261781112, 271.7237930371225, 128.0328909405655)","(316.9239263803681, 301.35828220858895, 137.0)","(333.0971648775117, 284.5125240847784, 144.0035783099367)","(333.273733047823, 296.75392576730906, 136.99768022840829)","(342.9754720654078, 288.84874440334823, 145.99941600155734)","(301.4002109148431, 290.9235433693646, 157.99947271289216)","(307.6414427157001, 280.65912305516264, 158.994342291372)","(312.40393654524087, 283.3783783783784, 179.00323149236192)","(321.3800440205429, 292.0787478601125, 147.00097823428712)"
diagnostics_Mask-original_CenterOfMass,"(292.61412388527356, 295.55603759942153, 134.00096408773197)","(289.87249831346975, 277.47964920170904, 151.05127051945132)","(313.57722374815125, 299.25375026410313, 166.00781745193322)","(299.9766931724705, 280.4236358650946, 152.0008225939128)","(330.80755760368663, 281.4790783410138, 130.99981566820276)","(323.4064429012346, 317.9728009259259, 164.99672067901236)","(290.20431328036324, 289.3240635641317, 176.00397275822928)","(327.1978417266187, 296.4540549378679, 148.99509483322433)","(329.59252157238734, 256.8557046979866, 147.00095877277084)","(327.0883575883576, 279.1702702702703, 132.9860706860707)","(310.9922234565942, 298.51515632439293, 88.00111093477226)","(306.20749632533074, 277.4331210191083, 143.00073493385597)","(336.09063843863714, 293.8706582864704, 141.99669202778696)","(327.5569637139808, 350.53908751334046, 99.00320170757738)","(302.9711634073583, 277.22008617832284, 163.0122638382499)","(281.6678445229682, 269.9197672001663, 152.00748285179796)","(316.85076923076923, 277.89846153846156, 171.0048717948718)","(332.6513049223654, 246.33795837462836, 149.03551370994384)","(296.6489259378006, 304.89131131773, 155.9980763065085)","(362.4083698953763, 316.9235572055349, 101.99763752953088)","(316.49294089495095, 284.97128499641065, 195.00646087580762)","(316.1996601529312, 273.66468422543187, 170.99660152931182)","(309.8561261781112, 271.7237930371225, 128.0328909405655)","(316.9239263803681, 301.35828220858895, 137.0)","(333.0971648775117, 284.5125240847784, 144.0035783099367)","(333.273733047823, 296.75392576730906, 136.99768022840829)","(342.9754720654078, 288.84874440334823, 145.99941600155734)","(301.4002109148431, 290.9235433693646, 157.99947271289216)","(307.6414427157001, 280.65912305516264, 158.994342291372)","(312.40393654524087, 283.3783783783784, 179.00323149236192)","(321.3800440205429, 292.0787478601125, 147.00097823428712)"
original_shape_Elongation,0.9830200236888577,0.9831882682957996,0.995445596282642,0.988381535449306,0.9959553163571602,0.9942419655076739,0.9858275482433752,0.9929841416953229,0.9634471417251464,0.9939506856235643,0.9915972898557814,0.9963804041360299,0.9954303386580265,0.9934020289769068,0.9878586504006295,0.9950606817634542,0.9937431312783903,0.9945741754279296,0.9977289866776652,0.9938061809015097,0.9939083257547132,0.9894739811400515,0.9850744432193126,0.9834820393027836,0.9991706949973672,0.9795393573722139,0.9968801244622743,0.9887574194513107,0.9852923777795862,0.9836436402961731,0.9988412872478818
