Timestep,Spacing
BEPre,0.560994357605
BEPreN1,1.1262708874512501
BEPreN2,0.8734904248049999
BEPreN3,0.6885537841799999
BEPreN4,0.73272705078125
BEPreN5,0.8694116403199998
BEPreN6,0.61798095703125
BEPreN7,0.684932968445
BJPre,0.542816162109375
BJPreN1,0.7744257223512498
BJPreN2,0.551222924805
BJPreN3,0.8816724304200001
BMPre,0.9618759155273438
BMPreN1,0.8393611907958984
BMPreN2,1.06787109375
BMPreN3,0.971282958984375
BMPreN4,1.1794052124023438
BSPre,0.8331484460449999
BSPreN1,0.82123304901125
CTPre,0.6885537412017491
CTPreN1,0.516133107605
DCPre,1.1262708874512501
DCPreN1,1.0580062866210938
DJPre,0.9273574044799999
DJPreN1,0.92315673828125
FHPre,1.1920916748050001
FHPreN1,1.301931381225586
FJPre,0.8411397216800001
FJPreN1,1.09406023651125
GDPre,1.03992853485125
GDPreN1,1.0533338562012502
HAPre,0.494403446045
HAPreN1,0.5750026702880859
HAPreN2,0.6563227536012499
HAPreN3,0.7515390036012501
HAPreN4,0.5319408679200001
HDPre,0.85320021698
HDPreN1,0.9760036468505859
HDPreN2,0.695820321045
HDPreN3,0.95276383026125
HDPreN4,0.7289936544800001
HDPreN5,0.597552821045
HDPreN6,0.6705524826050001
HGPre,0.95276383026125
HGPreN1,1.1920916748050001
HGPreN2,0.778273549805
HWPre,1.1920916748050001
HWPreN1,1.1262708874512501
HWPreN2,0.97419628418
HWPreN3,1.1920916748050001
HWPreN4,0.61798095703125
HWPreN5,0.8451517184450001
HWPreN6,1.03547993042
HWPreN7,0.461517333984375
KEPre,0.6492660177612499
KEPreN1,0.6352669723512501
KEPreN2,0.6813235437012499
LDPre,1.1920916748050001
LDPreN1,1.379476547241211
LDPreN2,1.00023213745125
LDPreN3,1.1920916748050001
LDPreN4,0.7898762326050001
LKPre,0.61798095703125
LKPreN1,0.6705524826050001
LKPreN2,0.61798095703125
LKPreN3,0.74022244995125
LKPreN4,0.66698119995125
LKPreN5,0.621418732605
LKPreN6,0.7457027435302734
LLPre,0.61798095703125
LLPreN1,0.78213289032
LLPreN2,0.5319408679200001
LLPreN3,0.47615128417999997
LLPreN4,0.61798095703125
LLPreN5,0.78599979370125
LLPreN6,0.70679164276125
LTPre,1.1920916748050001
LTPreN1,1.1920916748050001
LTPreN2,1.1920916748050001
MBPre,1.1920916748050001
MBPreN1,0.762939453125
MCPre,1.1920916748050001
MCPreN1,1.06231689453125
MCPreN2,1.0488566403200001
MCPreN3,1.01778086792
MKPre,0.8451517184450001
MKPreN1,0.906447299805
MKPreN2,0.8172803210450001
MKPreN3,0.8291671115112499
MKPreN4,0.9871724044800001
MKPreN5,0.67772365448
MKPreN6,0.560994357605
MKPreN7,0.8694116403199998
MKPreN8,0.48523445526125003
MKPreN9,0.8734904248049999
MSPre,0.95276383026125
MSPreN1,1.13555908203125
NJPre,0.95276383026125
NJPreN1,0.5908203125
NJPreN2,0.88577773651125
NJPreN3,0.6885537841799999
NJPreN4,1.0046044528199998
NJPreN5,0.9442575973512501
NJPreN6,0.9273574044799999
OWPre,1.1920916748050001
OWPreN1,1.1920916748050001
OWPreN2,1.1920916748050001
OWPreN3,1.1920916748050001
OWPreN4,1.1920916748050001
OWPreN5,1.1920916748050001
OWPreN6,1.11701847168
OWPreN7,1.009368896484375
RSPre,0.85320021698
RSPreN1,0.8940169552612499
RSPreN2,0.70679164276125
RSPreN3,0.8491711999512501
RSPreN4,0.695820321045
RSPreN5,0.4291541748049999
RSPreN7,0.36851916870125007
SBPre,0.8658657073974609
SBPreN1,0.47615128417999997
SBPreN2,0.61798095703125
SBPreN3,0.6317910498049999
SEPre,1.07133807495125
SEPreN1,1.1920916748050001
SEPreN2,0.95276383026125
SEPreN3,0.6111340124512501
SEPreN4,0.77058743042
SJPre,0.58746836151125
SJPreN1,0.9442575973512501
SJPreN2,0.82123304901125
SJPreN3,1.07133807495125
SJPreN4,0.93156760620125
SLPre,1.0758629684449998
SLPreN1,1.1448854187012498
SLPreN2,0.9147840124512501
SLPreN3,1.0533338562012502
SLPreN4,0.67772365448
SWPre,2.327739715576172
SWPreN1,1.8771171569824219
TBPre,0.7591297677612501
TBPreN1,0.7744257223512498
TCPre,1.087738037109375
TCPreN1,0.95276383026125
THPre,1.0849436911012502
THPreN1,1.1124077536012498
THPreN2,1.1262708874512501
WEPre,1.1920916748050001
WEPreN1,1.07133807495125
WEPreN2,1.1920916748050001
WEPreN3,1.0849436911012502
WMPre,0.93156760620125
WMPreN1,0.918965607605
WMPreN2,1.008988549805
WMPreN3,0.9442575973512501
WMPreN4,0.995869357605
WMPreN5,0.79376220703125
WMPreN6,0.9273574044799999
