,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,ec66ff009dcc6ba4e39f125bb2f7c3f568b16783,dc9769954d37b2222c3c8012201cffb1cc248b97
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 222)","(512, 512, 250)"
original_glcm_SumEntropy,6.074853683037076,5.948568430482103
original_glcm_SumSquares,169.4431293524471,159.42652749100938
original_gldm_DependenceEntropy,7.648208927816043,7.487884380969648
original_gldm_DependenceNonUniformity,1143.9796033994335,912.2730844793713
original_gldm_DependenceNonUniformityNormalized,0.16203677101974978,0.16293500347908044
original_gldm_DependenceVariance,4.854384835766277,4.670689127791523
original_gldm_GrayLevelNonUniformity,288.4246458923513,255.42614752634398
original_gldm_GrayLevelVariance,163.01325062796428,152.92410838934478
original_gldm_HighGrayLevelEmphasis,457.1454674220963,410.5784961600286
original_gldm_LargeDependenceEmphasis,16.02096317280453,15.669762457581712
original_gldm_LargeDependenceHighGrayLevelEmphasis,6185.69985835694,5134.261653866762
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.37862148737729456,0.2995464847446093
original_gldm_LowGrayLevelEmphasis,0.018064644509992872,0.017307312622275778
original_gldm_SmallDependenceEmphasis,0.3043202341801848,0.3063583025649536
original_gldm_SmallDependenceHighGrayLevelEmphasis,174.37270252588002,157.11379152359066
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0041073083067992774,0.004145823060816767
original_glrlm_GrayLevelNonUniformity,250.1152724626181,221.11333426243152
original_glrlm_GrayLevelNonUniformityNormalized,0.03892595018652994,0.043348553146067066
original_glrlm_GrayLevelVariance,161.82936460062203,152.3335782369799
original_glrlm_HighGrayLevelRunEmphasis,464.7191953122093,418.0731758912191
original_glrlm_LongRunEmphasis,1.3290263426090747,1.323743103939609
original_glrlm_LongRunHighGrayLevelEmphasis,591.6076943537765,526.8959973704435
original_glrlm_LongRunLowGrayLevelEmphasis,0.02500095636251615,0.023309963858790708
original_glrlm_LowGrayLevelRunEmphasis,0.01760905165710954,0.017107447847226932
original_glrlm_RunEntropy,5.570197377693139,5.4418618725983645
original_glrlm_RunLengthNonUniformity,5399.675337654413,4293.605073016528
original_glrlm_RunLengthNonUniformityNormalized,0.8390469243001555,0.8408530616530514
original_glrlm_RunPercentage,0.9099368054042275,0.9109044197452842
original_glrlm_RunVariance,0.11720000375127497,0.11587479726555182
original_glrlm_ShortRunEmphasis,0.9324869578358903,0.9334814278807025
original_glrlm_ShortRunHighGrayLevelEmphasis,439.26525607054987,395.9420189935308
original_glrlm_ShortRunLowGrayLevelEmphasis,0.01607531541676702,0.015805390832474807
original_glszm_GrayLevelNonUniformity,62.378212974296204,52.81995884773662
original_glszm_GrayLevelNonUniformityNormalized,0.02545010729265451,0.027170760724144354
original_glszm_GrayLevelVariance,148.09078601544994,138.55688919372048
original_glszm_HighGrayLevelZoneEmphasis,583.7095063239494,522.9104938271605
original_glszm_LargeAreaEmphasis,77.34149326805385,85.97788065843622
original_glszm_LargeAreaHighGrayLevelEmphasis,17624.603427172584,16870.888374485596
original_glszm_LargeAreaLowGrayLevelEmphasis,1.2947688037199687,1.5712733993221881
original_glszm_LowGrayLevelZoneEmphasis,0.014534045499854098,0.01453096577265719
original_glszm_SizeZoneNonUniformity,1005.1534067727458,810.2664609053498
original_glszm_SizeZoneNonUniformityNormalized,0.41009930916880694,0.4168037350336162
original_glszm_SmallAreaEmphasis,0.665489563279604,0.6711132276349522
original_glszm_SmallAreaHighGrayLevelEmphasis,407.9963212311787,368.5025383332016
original_glszm_SmallAreaLowGrayLevelEmphasis,0.008199996866431117,0.008141388246211594
original_glszm_ZoneEntropy,7.2701182693146285,7.117748552828602
original_glszm_ZonePercentage,0.3471671388101983,0.347204858010359
original_glszm_ZoneVariance,69.04446099070131,77.6826510080611
original_ngtdm_Busyness,0.9149218367477803,0.9220118578953894
original_ngtdm_Coarseness,0.0015355821699129077,0.0018112266088633122
original_ngtdm_Complexity,4154.579688526909,3471.255778055839
original_ngtdm_Contrast,0.3045647624283364,0.32259890148676024
original_ngtdm_Strength,3.0494623375145116,3.2361377582486446
