,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,ec66ff009dcc6ba4e39f125bb2f7c3f568b16783,dc9769954d37b2222c3c8012201cffb1cc248b97
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 222)","(512, 512, 250)"
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.3266053812771841,0.9640928657383732
original_gldm_LowGrayLevelEmphasis,0.0123971743639556,0.024918629365060965
original_gldm_SmallDependenceEmphasis,0.35268627774232025,0.2565556589349825
original_gldm_SmallDependenceHighGrayLevelEmphasis,210.73866018095364,114.4325439980328
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.003072821622210623,0.004012090423807532
original_glrlm_GrayLevelNonUniformity,186.7300314989561,356.85723470286234
original_glrlm_GrayLevelNonUniformityNormalized,0.02886211940787314,0.05993852911371149
original_glrlm_GrayLevelVariance,182.13908770597553,142.2522465668711
original_glrlm_HighGrayLevelRunEmphasis,609.4607832308914,333.9028874315031
original_glrlm_LongRunEmphasis,1.3136261568164385,1.5393254326368238
original_glrlm_LongRunHighGrayLevelEmphasis,807.3716880515204,481.28459646409397
original_glrlm_LongRunLowGrayLevelEmphasis,0.017819351867946316,0.040814033330633145
original_glrlm_LowGrayLevelRunEmphasis,0.011820124036646642,0.02396151822605878
original_glrlm_RunEntropy,5.7157594951461625,5.238803326280195
original_glrlm_RunLengthNonUniformity,5528.563854426059,4652.709881323807
original_glrlm_RunLengthNonUniformityNormalized,0.852585803601693,0.7800163809240501
original_glrlm_RunPercentage,0.9160819350621051,0.868475124350179
original_glrlm_RunVariance,0.11577830839990157,0.20646150150499373
original_glrlm_ShortRunEmphasis,0.9382541495590426,0.9038861327451015
original_glrlm_ShortRunHighGrayLevelEmphasis,570.9335638946557,307.08376460155705
original_glrlm_ShortRunLowGrayLevelEmphasis,0.010708800626482913,0.02098240508310325
original_glszm_GrayLevelNonUniformity,73.58304378040306,60.28704663212435
original_glszm_GrayLevelNonUniformityNormalized,0.025567423134260966,0.031236811726489302
