0,rider1,rider10,rider11,rider12,rider13,rider14,rider15,rider16,rider17,rider18,rider19,rider2,rider20,rider21,rider22,rider23,rider24,rider25,rider26,rider27,rider28,rider29,rider3,rider30,rider31,rider4,rider5,rider6,rider7,rider8,rider9
diagnostics_Image-original_Mean,-950.188725882115,-1022.5167123730400,-939.2348249306930,-1013.5208868623600,-978.378402100206,-1040.998671091810,-1133.3051479559300,-995.1103336621930,-954.9347576849420,-1065.6972076014800,-847.0942005738530,-1119.7900237334400,-953.2817307804830,-1130.1556707236000,-1168.8308214731300,-1087.4961767869100,-1147.0520851919300,-1049.1751534598100,-1070.717807315680,-946.1769108671870,-1109.912622872160,-1158.3800895053900,-964.8851269422220,-1141.0537825293100,-952.3726317860830,-978.9085762339460,-1058.207542250980,-1224.940164801410,-1216.3397086518200,-1206.8196571573800,-1085.40333687706
diagnostics_Image-original_Minimum,-2925.5351893990100,-3067.236645709050,-2922.339659828340,-2925.5351893990100,-2925.5351893990100,-2922.339659828340,-2922.339659828340,-3067.236645709050,-2925.5351893990100,-2922.339659828340,-2922.339659828340,-3067.236645709050,-2922.339659828340,-3067.236645709050,-2925.5351893990100,-2922.339659828340,-2925.5351893990100,-2922.339659828340,-3067.236645709050,-3067.236645709050,-2922.339659828340,-2922.339659828340,-3067.236645709050,-2925.5351893990100,-2925.5351893990100,-2925.5351893990100,-2925.5351893990100,-2925.5351893990100,-3067.236645709050,-2922.339659828340,-3067.236645709050
diagnostics_Image-original_Maximum,3107.6708196800200,3096.884073315550,3087.989031540270,3076.8586031963900,3107.6708196800200,2952.1119105081000,2344.7411794942800,3096.884073315550,3107.6708196800200,3087.989031540270,3087.989031540270,3096.884073315550,3087.989031540270,3096.884073315550,2900.612724909990,3087.989031540270,2560.4458549306500,3087.989031540270,3096.884073315550,2780.9070266488000,3087.989031540270,2851.562840944290,3096.884073315550,3107.6708196800200,2523.4711951502900,3107.6708196800200,3107.6708196800200,3107.6708196800200,2258.8185156333500,3087.989031540270,2842.6496679515
diagnostics_Mask-original_VoxelNum,-897.8500550043410,-7665.553636828120,-7422.188766783490,2259.3221505195000,613.6040442186000,41835.86486219070,-4796.51498943642,-5589.340088234720,11528.34940136760,1503.3162232604600,-3423.288073845200,621.236392514209,56566.33181711580,110513.71028771000,11776.759681563900,5298.7236737446200,1094.6802910777500,-4200.6040623420800,282.09626192724100,776.8212977834860,104697.88821245800,-11391.01193658770,59291.31355405720,-2362.071213626560,122440.04077270300,14567.439255389600,3297.1348176074700,-1989.8931353746200,16147.094879385500,10031.703915674500,22519.666130414800
diagnostics_Mask-original_VolumeNum,2.5018526454109900,2.524163347140930,3.1252194077626200,2.5018526454109900,2.5018526454109900,3.1252194077626200,3.1252194077626200,2.524163347140930,2.5018526454109900,3.1252194077626200,3.1252194077626200,2.524163347140930,3.1252194077626200,2.524163347140930,2.5018526454109900,3.1252194077626200,2.5018526454109900,3.1252194077626200,2.524163347140930,2.524163347140930,3.1252194077626200,3.1252194077626200,2.524163347140930,2.5018526454109900,2.5018526454109900,8.83951526109819,2.5018526454109900,2.5018526454109900,2.524163347140930,3.1252194077626200,5.448802650181130
original_shape_Elongation,0.8526663748448850,0.6648563120621440,0.6018155561389450,0.7752947034634690,0.46574426995160300,0.6637981301616400,0.5071017527936690,0.6464574163914950,0.8572935672175400,0.808561872327592,0.3534023960491020,0.6702354804155080,0.7742532305672780,0.8373935647940460,0.6165582303450450,0.7761401397053950,0.40136646815004900,0.6897625216107380,0.5703194058648000,0.4477664672373480,0.76095967939791,0.7400310991835180,0.8801495281759340,0.6753396218131980,0.6255428642697980,0.8751606104328030,0.6896939490253950,0.7631460255024000,0.7694545339098430,0.8857131871165930,0.8536738720887350
original_shape_Flatness,0.37840158610328300,0.2595609298568540,0.24151945162305600,0.44523240126351200,0.27131841186145800,0.404649624118779,0.34210298578763100,0.4271477410938410,0.5651514184266670,0.2846086268540950,0.23485551131114500,0.5419319211959600,0.3569618922108710,0.3425173286998280,0.47647921738347300,0.4660474083235520,0.2288429687326150,0.4301623309443190,0.45374016734928200,0.31850460654272100,0.5052462957350140,0.5083793216153760,0.4367939805235700,0.18729052715798500,0.33883069976712500,0.5279126013119400,0.5169591545892580,0.4961700627790340,0.5755557946946550,0.6292192681963720,0.47026556243366100
original_shape_LeastAxisLength,7.989851150753290,3.566397934016360,6.658180897552550,12.40750934864130,9.394906663520300,20.83998515985910,10.396006550907200,8.711322402561420,19.338836901282200,10.748355922712100,9.488727400274070,14.905909920348600,21.14231948358680,25.553455651733900,19.96934723933140,14.650816038769900,9.509020574908890,11.274831803960300,14.306116595556400,12.224815856135900,30.546992189855000,4.362899208245940,24.326027554223500,3.4962716424437800,29.51509501463150,20.182919738370900,15.346985665840400,7.374603322667080,22.7171479884188,18.89590178572290,20.406344906836000
original_shape_MajorAxisLength,22.362221835582600,13.424444150047100,26.942894496681800,28.5753013826117,34.610341467301000,53.627791085754200,29.701187604043900,21.01151040798860,34.17819360544500,38.12575490268090,41.14117463131740,29.019818083831000,62.335239961066100,73.0607187392922,40.92724156744610,30.664414147804000,41.559278607283500,24.743377913693300,32.525487726480600,37.399123996586900,64.00273188794240,4.316508434700130,56.86914391554220,17.754898341876500,82.79478857464330,37.660082630373200,30.243389975397600,17.290468329910300,41.82900514420620,28.873316011431200,44.8466497200575
original_shape_Maximum2DDiameterColumn,24.02657892751640,13.805267735807700,19.10601481805150,27.41187604688310,39.15218995369930,60.95927142170660,17.55284267609530,20.767883601086200,39.646638580581300,46.740081889078800,44.197130012201800,28.079346368474600,59.92718315402720,76.43865984698480,41.84845825574380,36.62199142827100,38.644311887624900,27.603537634827600,26.787708324628900,43.64511292321540,69.68054518832920,4.279795312562040,66.39569287369210,17.012786802544800,90.26508036268010,53.967910358560600,27.935049486762800,17.27206635204510,45.16827715126220,39.83904828317280,59.19238748116790
