,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175
,rider1,rider10,rider11,rider12,rider13,rider14,rider15,rider16,rider17,rider18,rider19,rider2,rider20,rider21,rider22,rider23,rider24,rider25,rider26,rider27,rider28,rider29,rider3,rider30,rider31,rider4,rider5,rider6,rider7,rider8,rider9,BEPreN3,BEPreN4,BEPreN2,BEPreN1,BEPreN5,BEPreN6,BEPreN7,BJPreN2,BJPreN3,BJPreN1,BMPre,BMPreN1,BMPreN2,BMPreN3,BMPreN4,BSPre,BSPreN1,CTPre,CTPreN1,DCPre,DJPre,DJPreN1,FHPre,FHPreN1,FJPre,FJPreN1,GDPre,GDPreN1,HAPre,HAPreN2,HAPreN3,HAPreN4,HDPreN6,HDPreN3,HDPreN4,HDPre,HDPreN5,HDPreN2,HDPreN1,HGPre,HGPreN1,HGPreN2,HWPre,HWPreN1,HWPreN2,HWPreN3,HWPreN4,HWPreN5,HWPreN6,KEPre,KEPreN1,KEPreN2,LDPre,LDPreN1,LDPreN2,LDPreN3,LDPreN4,LKPre,LKPreN1,LKPreN2,LKPreN3,LKPreN4,LKPreN5,LLPre,LLPreN1,LLPreN2,LLPreN3,LLPreN4,LLPreN5,LLPreN6,LTPre,LTPreN1,LTPreN2,MBPre,MBPreN1,MCPre,MCPreN1,MCPreN2,MCPreN3,MKPreN2,MKPreN3,MKPreN4,MKPreN7,MKPreN8,MKPreN9,MSPre,MSPreN1,NJPre,NJPreN1,NJPreN2,NJPreN3,NJPreN4,NJPreN5,NJPreN6,OWPre,OWPreN1,OWPreN2,OWPreN3,OWPreN4,OWPreN5,OWPreN6,OWPreN7,RSPre,RSPreN1,RSPreN2,RSPreN3,RSPreN4,RSPreN5,RSPreN7,SBPreN2,SBPreN1,SBPreN3,SEPre,SEPreN1,SEPreN2,SEPreN3,SEPreN4,SJPre,SJPreN1,SJPreN3,SJPreN4,SLPre,SLPreN1,SLPreN2,SLPreN3,SLPreN4,TBPre,TBPreN1,TCPre,TCPreN1,THPre,THPreN1,THPreN2,WEPre,WEPreN1,WEPreN2,WEPreN3,WMPre,WMPreN1,WMPreN2,WMPreN3,WMPreN4,WMPreN5,WMPreN6
,41.071583514099800,47.46300876995730,37.343545320093000,42.061968741431300,41.68921658986180,35.8275462962963,31.211691259931900,49.394538914323100,39.14189837008630,28.68960498960500,31.333915251547400,49.73297403233710,38.05722791928550,46.784418356456800,41.38846536294330,34.395136146331300,39.53,35.51684836471750,45.559474190445700,47.066992912588600,31.51926298157450,35.877088643443800,51.73918061165610,41.488588957055200,43.96696944673820,43.47269807280510,44.254233988709400,40.1431584497759,49.25106082036780,37.9048178613396,45.13988750305700,326.10905943450700,297.33791964777100,216.3182326621920,413.7267801857590,250.38771824202300,253.79225512528500,271.364522417154,97.34471544715450,166.49690466364000,138.8092661481230,267.9876830892140,71.47947976878610,234.36277717193700,435.9546558704450,242.05114503816800,242.01576004067100,273.66761850371200,273.3361833105340,274.86396917148400,293.1754505270320,166.90057882192700,188.41137945149400,284.2272517321020,107.84750337381900,132.06174411203100,128.68942436412300,119.58563949139900,164.1,100.69997247453900,148.3227530905450,176.38299663299700,184.43302500856500,336.5615176151760,288.5502008032130,150.08393983503200,318.4045393858480,316.2577365163570,294.20559741657700,454.7870425914820,211.28526426321300,239.88574793875100,222.68831537152600,176.8602383531960,247.77300275482100,190.83420676512600,166.95763172189000,231.72433403172700,245.8322026232470,234.11747851002900,220.84279600570600,164.83254557731300,133.56426247288500,198.754565376187,265.07064760302800,197.76298701298700,198.26230661040800,284.75449796865900,353.8794642857140,177.29851398601400,162.72258297258300,369.96233292831100,316.8518930957680,188.8002964060760,344.7447389997270,161.2294227188080,202.0231041043760,252.5917257683220,220.65124223602500,186.8307819611090,232.23924093527600,118.99417372881400,93.35051546391750,140.06233207952700,157.16489028213200,145.35539305301600,163.57756563245800,140.34495938843800,194.87716615698300,151.33859397417500,272.91703584373700,277.6663796814460,283.45831455610600,163.45353339787000,175.0081135902640,230.936,198.66192170818500,163.31338891613500,203.17776298269000,241.99821109123400,101.31473102061300,149.89375775113700,213.48135818908100,118.05328071040900,166.60739979445000,93.31698113207550,111.95787651471400,174.2711246200610,102.36487221315900,88.69223347805110,143.6520325203250,81.30174081237910,127.18189403420900,326.2041327489040,251.5993316004460,339.3957775795420,135.01765354909900,327.3889240506330,394.9335189697180,164.59148359915700,295.7262273330390,196.7299298519100,303.2494441974210,235.35546558704500,274.02676181980400,261.4586280056580,170.67440401505600,138.80912069907200,130.56449254167900,168.20319303338200,92.92807881773400,152.38628158844800,206.00331282536700,196.27432216905900,206.3954372623570,165.03394396551700,152.73481384715900,148.03262578616400,125.60507246376800,110.15550755939500,158.22178819444400,223.43517382413100,290.7817418677860,367.3412302576890,193.27521793275200,102.36377245509000,112.56430338004900,108.84630738523000,138.6847492323440,171.71418208197300,106.26616474756400,250.1148369315570,197.70196257416700,122.62631747045700,247.2600080873430
Batch,2,3,1,2,2,1,1,3,2,1,1,3,1,3,2,1,2,1,3,3,1,1,3,2,2,2,2,2,3,1,3,15,15,11,16,13,13,13,4,8,6,13,3,12,16,12,12,14,14,14,15,8,9,14,4,6,5,5,8,4,7,9,9,16,14,7,15,15,15,16,11,12,11,9,13,10,8,12,12,12,11,8,6,10,13,10,10,14,16,9,7,16,15,10,16,7,11,13,11,9,12,5,4,6,7,6,8,6,10,7,14,14,14,8,9,12,10,8,11,12,4,7,11,5,8,4,5,9,4,4,6,3,5,15,13,16,6,15,16,8,15,10,15,12,14,13,9,6,6,9,4,7,11,10,11,8,7,7,5,5,7,11,14,16,10,4,5,5,6,9,4,13,10,5,13
