0,Combat,Original,,,
original_glszm_GrayLevelNonUniformity,0.87034488,0.818952569,BETTER,,
original_glszm_GrayLevelNonUniformityNormalized,0.035436058,0.040558803,FALSE,,
original_glszm_GrayLevelVariance,0.001218933,0.000876013,BETTER,,
original_glszm_HighGrayLevelZoneEmphasis,0.367474429,0.321130826,BETTER,,
original_glszm_LargeAreaEmphasis,0.630402131,0.597990796,BETTER,,
original_glszm_LargeAreaHighGrayLevelEmphasis,0.596050236,0.611538706,FALSE,,
original_glszm_LargeAreaLowGrayLevelEmphasis,0.369085306,0.041923998,BETTER,,
original_glszm_LowGrayLevelZoneEmphasis,0.202219989,0.18980558,BETTER,,
original_glszm_SizeZoneNonUniformity,0.731632128,0.645442609,BETTER,,
original_glszm_SizeZoneNonUniformityNormalized,0.022463534,0.024459613,FALSE,,
original_glszm_SmallAreaEmphasis,0.018139708,0.01874619,FALSE,,
original_glszm_SmallAreaHighGrayLevelEmphasis,0.33434417,0.282868741,BETTER,,
original_glszm_SmallAreaLowGrayLevelEmphasis,0.207498355,0.192811823,BETTER,,
original_glszm_ZoneEntropy,0.139695236,0.134153079,BETTER,,
original_glszm_ZonePercentage,0.291865661,0.237254435,BETTER,,
original_glszm_ZoneVariance,0.630019018,0.597761366,BETTER,,
original_ngtdm_Busyness,0.146943732,0.03123828,BETTER,,
original_ngtdm_Coarseness,0.070538056,0.034921048,BETTER,,
original_ngtdm_Complexity,0.01703466,0.013581333,BETTER,,
original_ngtdm_Contrast,0.133484481,0.102572192,BETTER,,
original_ngtdm_Strength,0.114139602,0.041806317,BETTER,,
