0,Combat,Original
diagnostics_Image-original_Mean,0.01568230940978386,0.0007805750547173044
diagnostics_Image-original_Minimum,1.7462114432622753e-33,0.0028993577007106262
diagnostics_Image-original_Maximum,0.0024530736824712775,0.001730767209053207
diagnostics_Mask-original_VoxelNum,0.9999011793499307,0.9999180648972251
diagnostics_Mask-original_VolumeNum,0.041171341101377074,0.009113073690693427
original_shape_Elongation,0.028615571414898736,0.031409362341567625
original_shape_Flatness,0.00022446904151317832,2.2169219271504326e-05
original_shape_LeastAxisLength,0.4742626117148484,0.46189666643305244
original_shape_MajorAxisLength,0.4572531771707594,0.4592944191457563
original_shape_Maximum2DDiameterColumn,0.5962727300618891,0.5192238283962431
original_shape_Maximum2DDiameterRow,0.5849272509349688,0.5510575873856607
original_shape_Maximum2DDiameterSlice,0.596516232200284,0.5572144561647973
original_shape_Maximum3DDiameter,0.6025663652381662,0.5541644492999434
original_shape_MeshVolume,1.0,1.0
original_shape_MinorAxisLength,0.5446692257003658,0.5145367787310998
original_shape_Sphericity,0.028776342563292787,0.019317338373264298
original_shape_SurfaceArea,0.8455406782092963,0.7892714011058951
original_shape_SurfaceVolumeRatio,0.2506577209417285,0.21623964192966286
original_shape_VoxelVolume,0.9999011793499307,0.9999180648972251
original_firstorder_10Percentile,0.13067521172405763,0.0995206391838583
original_firstorder_90Percentile,0.10896652654613852,0.09298307770869739
original_firstorder_Energy,0.19198318747592616,0.12865830222448085
original_firstorder_Entropy,0.01047627824402608,0.003770227926749049
original_firstorder_InterquartileRange,0.03173288774153009,0.008239339786701962
original_firstorder_Kurtosis,0.09783050588432615,0.050460431073452446
original_firstorder_Maximum,0.07981869779696245,0.08293368003346908
original_firstorder_MeanAbsoluteDeviation,0.012084013358113216,0.002361207931722453
original_firstorder_Mean,0.16027126926054783,0.12941728392322954
original_firstorder_Median,0.17863738117803832,0.1491056930729838
original_firstorder_Minimum,0.11368444487707594,0.09956311120312462
original_firstorder_Range,0.16350530037031968,0.1650279142693437
original_firstorder_RobustMeanAbsoluteDeviation,0.022681809231273078,0.005238927158191119
original_firstorder_RootMeanSquared,0.13315576101079166,0.0988771242216094
original_firstorder_Skewness,0.2722457132514498,0.2547972668704557
original_firstorder_TotalEnergy,0.19198318747592616,0.12865830222448085
original_firstorder_Uniformity,0.04424438637256692,0.021746644614301647
original_firstorder_Variance,0.0030770391904508727,3.505552308503811e-05
original_glcm_Autocorrelation,0.45837157148533936,0.45212474521248763
original_glcm_ClusterProminence,0.011930823959068802,0.0018326745504657078
original_glcm_ClusterShade,0.15648278837036567,0.07777159031913486
original_glcm_ClusterTendency,0.004808227328306258,0.00021030192353323557
original_glcm_Contrast,0.10693744609151953,0.07076615312315578
original_glcm_Correlation,0.22234436196544446,0.1727991954537248
original_glcm_DifferenceAverage,0.17697040818107693,0.13200368149173897
original_glcm_DifferenceEntropy,0.110157964501475,0.0760971959266381
original_glcm_DifferenceVariance,0.05070023963094418,0.029373888431692148
original_glcm_Id,0.29033935376613423,0.22759229089491145
original_glcm_Idm,0.30448363296992903,0.2368704213798097
original_glcm_Idmn,0.21706445878847114,0.19156207285885848
original_glcm_Idn,0.308867197938485,0.26593674823501207
original_glcm_Imc1,0.06791741151021177,0.05211173633380527
original_glcm_Imc2,0.11055068430489894,0.06752911680709772
original_glcm_InverseVariance,0.25648971515554764,0.19211786673957668
original_glcm_JointAverage,0.42814256236256526,0.44002413919973876
original_glcm_JointEnergy,0.0069044859902440145,0.00011537060534628867
original_glcm_JointEntropy,0.004917705367583889,0.0012774290571479583
original_glcm_MCC,0.04162477228314406,0.040810012422575793
original_glcm_MaximumProbability,0.03958322694868791,0.015707208173250577
original_glcm_SumAverage,0.42814256241903076,0.44002413920296546
original_glcm_SumEntropy,0.0024221643365959734,0.00014801713296404696
original_glcm_SumSquares,0.02144369461023713,0.002231694465080948
original_gldm_DependenceEntropy,0.23731985993077695,0.20755840927557387
original_gldm_DependenceNonUniformity,0.8223143313060356,0.7504114707687011
original_gldm_DependenceNonUniformityNormalized,0.2640936747008415,0.2141362618108902
original_gldm_DependenceVariance,0.37095451410461155,0.3025311320751148
original_gldm_GrayLevelNonUniformity,0.894354374323725,0.8392848556119675
original_gldm_GrayLevelVariance,0.0029896016178220003,4.0430390798357987e-05
original_gldm_HighGrayLevelEmphasis,0.45848856755571377,0.45214238458000927
original_gldm_LargeDependenceEmphasis,0.4555393852900586,0.4051755487300853
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.6271397100926535,0.6301550933606773
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.07089831541431535,0.04441130306257827
original_gldm_LowGrayLevelEmphasis,0.14716513915019486,0.1383621326576555
original_gldm_SmallDependenceEmphasis,0.28693761464755624,0.23205870964052616
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.10016420919461042,0.07025251580571298
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.1727670688716506,0.14799390962223755
original_glrlm_GrayLevelNonUniformity,0.927885784615444,0.8791839460102743
original_glrlm_GrayLevelNonUniformityNormalized,0.007614873131695892,0.0019737505543568515
original_glrlm_GrayLevelVariance,0.00012241403239835253,0.0008133553891983414
original_glrlm_HighGrayLevelRunEmphasis,0.451282058882307,0.44241290550894347
original_glrlm_LongRunEmphasis,0.4773579140900252,0.43528400776127474
original_glrlm_LongRunHighGrayLevelEmphasis,0.6041165752535794,0.6167999682837759
original_glrlm_LongRunLowGrayLevelEmphasis,0.14392800190464047,0.14052507692234387
original_glrlm_LowGrayLevelRunEmphasis,0.15290160775716738,0.14282549570728997
original_glrlm_RunEntropy,0.11372320124154157,0.10772316663966819
original_glrlm_RunLengthNonUniformity,0.9687055045809323,0.9391250185777273
original_glrlm_RunLengthNonUniformityNormalized,0.40730594704084194,0.3493272956233133
original_glrlm_RunPercentage,0.4336291357523394,0.38055310396193415
original_glrlm_RunVariance,0.4810592116645196,0.43635072787462886
original_glrlm_ShortRunEmphasis,0.4267859201532157,0.37260072450829645
original_glrlm_ShortRunHighGrayLevelEmphasis,0.4031972213661532,0.3887423897167567
original_glrlm_ShortRunLowGrayLevelEmphasis,0.15437810671972038,0.14302409832266408
original_glszm_GrayLevelNonUniformity,0.8703448802307049,0.8189525694990498
original_glszm_GrayLevelNonUniformityNormalized,0.03543605758987135,0.04055880280602327
original_glszm_GrayLevelVariance,0.00121893269461976,0.0008760129758714088
original_glszm_HighGrayLevelZoneEmphasis,0.3674744294265956,0.3211308257263592
original_glszm_LargeAreaEmphasis,0.6304021306900891,0.5979907958477261
original_glszm_LargeAreaHighGrayLevelEmphasis,0.5960502359660668,0.6115387060933066
original_glszm_LargeAreaLowGrayLevelEmphasis,0.36908530588987754,0.041923997666876434
original_glszm_LowGrayLevelZoneEmphasis,0.20221998936167948,0.1898055798808452
original_glszm_SizeZoneNonUniformity,0.7316321275904565,0.6454426093093399
original_glszm_SizeZoneNonUniformityNormalized,0.022463534189284005,0.0244596133319255
original_glszm_SmallAreaEmphasis,0.018139708358242992,0.018746189847287383
original_glszm_SmallAreaHighGrayLevelEmphasis,0.33434416977516124,0.2828687410995679
original_glszm_SmallAreaLowGrayLevelEmphasis,0.2074983546662966,0.19281182250878137
original_glszm_ZoneEntropy,0.13969523633482275,0.1341530787136167
original_glszm_ZonePercentage,0.2918656612330235,0.2372544350293024
original_glszm_ZoneVariance,0.6300190183782539,0.5977613657563816
original_ngtdm_Busyness,0.14694373228446403,0.031238280431582357
original_ngtdm_Coarseness,0.07053805584984617,0.03492104762172071
original_ngtdm_Complexity,0.017034660008125296,0.013581332547224044
original_ngtdm_Contrast,0.13348448124787105,0.10257219158845177
original_ngtdm_Strength,0.11413960206948882,0.041806316957086996
