diagnostics_Mask-original_Size,"(512, 512, 222)","(512, 512, 241)","(512, 512, 224)","(512, 512, 230)","(512, 512, 218)","(512, 512, 216)","(512, 512, 214)","(512, 512, 251)"
diagnostics_Mask-original_BoundingBox,"(282, 184, 183, 17, 15, 12)","(273, 195, 194, 10, 10, 11)","(309, 193, 171, 12, 12, 12)","(258, 213, 192, 14, 13, 12)","(283, 193, 177, 14, 13, 12)","(284, 171, 174, 13, 12, 11)","(262, 176, 165, 15, 15, 11)","(288, 202, 211, 14, 14, 10)"
diagnostics_Mask-original_VoxelNum,1405,574,865,1131,1048,818,1124,1024
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(289.5437722419929, 191.44128113879003, 188.59786476868328)","(277.57491289198606, 199.63066202090593, 199.35191637630663)","(314.2774566473988, 198.52254335260116, 176.41040462427745)","(264.43854995579136, 219.1918656056587, 197.80459770114942)","(289.2604961832061, 199.12881679389312, 182.91603053435114)","(289.36919315403424, 176.86552567237163, 178.85330073349633)","(269.1663701067616, 182.99110320284697, 170.33985765124555)","(293.86328125, 208.7646484375, 215.677734375)"
diagnostics_Mask-original_CenterOfMass,"(289.5437722419929, 191.44128113879003, 188.59786476868328)","(277.57491289198606, 199.63066202090593, 199.35191637630663)","(314.2774566473988, 198.52254335260116, 176.41040462427745)","(264.43854995579136, 219.1918656056587, 197.80459770114942)","(289.2604961832061, 199.12881679389312, 182.91603053435114)","(289.36919315403424, 176.86552567237163, 178.85330073349633)","(269.1663701067616, 182.99110320284697, 170.33985765124555)","(293.86328125, 208.7646484375, 215.677734375)"
original_shape_Elongation,0.9071046867553979,0.8248014563671242,0.9529922336615488,0.8721238348374231,0.9079748231204439,0.9184439804367115,0.9124138353855332,0.9322563789078054
original_shape_Flatness,0.6576843646884515,0.7594410556486734,0.7815288614867922,0.8000736795896743,0.7791461031551781,0.7640616826828911,0.723795505538434,0.6782252408937133
original_shape_LeastAxisLength,9.907595533299189,8.390150055862037,9.294822414488246,10.642981816539004,10.041356863451565,9.090445201628912,9.813110088217293,9.00314427889987
original_shape_MajorAxisLength,15.064362276564792,11.047796262075437,11.893127525457777,13.302502117051722,12.887643052809679,11.89752791909305,13.557848885670113,13.27456387060472
original_shape_Maximum2DDiameterColumn,18.788294228055936,12.806248474865697,15.0,15.811388300841896,16.1245154965971,14.7648230602334,16.1245154965971,16.1245154965971
original_shape_Maximum2DDiameterRow,16.55294535724685,12.529964086141668,13.601470508735444,14.422205101855956,14.212670403551895,14.212670403551895,15.811388300841896,15.652475842498529
original_shape_Maximum2DDiameterSlice,15.811388300841896,10.198039027185569,12.649110640673518,14.422205101855956,13.601470508735444,12.36931687685298,15.033296378372908,14.560219778561036
original_shape_Maximum3DDiameter,19.209372712298546,13.152946437965905,15.132745950421556,16.09347693943108,16.15549442140351,15.066519173319364,16.24807680927192,16.881943016134134
original_shape_MeshVolume,1399.3333333333333,560.2083333333334,848.3333333333334,1115.6666666666667,1034.25,804.4583333333334,1104.9583333333333,1007.0
original_shape_MinorAxisLength,13.664953624053137,9.112238446607092,11.334058165707656,11.601429159256085,11.701655421314285,10.927212899368726,12.370368901351746,12.375296845590338
original_shape_Sphericity,0.765860880122156,0.7614144012819047,0.7894954464953683,0.7676610299396567,0.7815106654270887,0.7948486054474037,0.7666585602226579,0.7775693275285962
original_shape_SurfaceArea,789.9780500165139,431.61455435299956,548.923953955317,677.6481679985344,632.8482277642436,526.2620798701707,674.1854926846929,624.833996117882
original_shape_SurfaceVolumeRatio,0.5645388637564416,0.770453648528969,0.6470616353107862,0.6073930397357643,0.6118909623052875,0.6541818986317967,0.6101456248136291,0.6204905621826037
original_shape_VoxelVolume,1405.0,574.0,865.0,1131.0,1048.0,818.0,1124.0,1024.0
original_firstorder_10Percentile,-881.6,-860.0,-872.0,-874.0,-885.0,-875.0,-887.0,-876.7
original_firstorder_90Percentile,-767.0,-753.0,-765.4,-741.0,-780.0,-750.0,-789.0,-756.3
original_firstorder_Energy,949272221.0,370917879.0,580698848.0,733791943.0,724819403.0,548105319.0,788636124.0,687742523.0
