diagnostics_Mask-original_Size,"(512, 512, 222)","(512, 512, 241)","(512, 512, 224)","(512, 512, 230)","(512, 512, 218)","(512, 512, 216)","(512, 512, 214)","(512, 512, 251)"
diagnostics_Mask-original_BoundingBox,"(283, 316, 181, 22, 23, 13)","(281, 284, 197, 15, 15, 12)","(298, 297, 174, 19, 18, 13)","(263, 331, 190, 21, 21, 12)","(296, 305, 174, 20, 21, 14)","(298, 271, 179, 18, 18, 12)","(279, 300, 167, 21, 21, 13)","(293, 315, 205, 19, 19, 12)"
diagnostics_Mask-original_VoxelNum,2987,1329,2034,2694,2580,1624,2666,2156
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1,1
original_glszm_SmallAreaHighGrayLevelEmphasis,342.1678208310673,307.655917292987,264.21990964982666,261.51083797371206,247.4658107827924,142.624865433362,194.82750915064975,167.13811111875467
original_glszm_SmallAreaLowGrayLevelEmphasis,0.0054116359340821065,0.0068651793051181555,0.009608032892931793,0.009469054358557513,0.010574265344263416,0.01600178415262303,0.008422499430659975,0.00889076583021598
original_glszm_ZoneEntropy,6.936664878129853,6.780191062438995,6.703085458771844,6.635089053077709,6.552813057845252,6.347727289294914,6.3690969271527305,6.2797743316157435
original_glszm_ZonePercentage,0.45028456645463677,0.4161023325808879,0.2723697148475909,0.21900519673348182,0.2116279069767442,0.21490147783251232,0.1579144786196549,0.17532467532467533
original_glszm_ZoneVariance,8.103655836707619,17.582412551625364,136.45525159978627,486.0422407354208,493.4263575252586,353.4872455891167,1247.1103187185809,875.0921026846952
original_ngtdm_Busyness,0.45735680720084565,0.3010086652776305,0.45557688696569765,0.4651772859725998,0.5042033106612157,0.509408448272114,0.6552854374295686,0.543301148198508
original_ngtdm_Coarseness,0.004129429054544172,0.007627750017658863,0.005312640846523761,0.004017077562121548,0.003995009117236359,0.006539993757694733,0.003973699214878966,0.004818207152712883
original_ngtdm_Complexity,2728.3667932596522,2323.7391189211326,1863.128111431373,2035.4446968058712,1856.0891015716616,821.3231020691567,902.3026814394079,928.7524001157525
original_ngtdm_Contrast,0.3193560882667361,0.23517597332188836,0.1266267938019503,0.0735817427805517,0.06888732008766171,0.07821454992652663,0.05016191359159017,0.05213757455380813
original_ngtdm_Strength,3.648235466801063,7.742688549082862,7.847066388010272,8.75511155892722,7.979036965151237,4.859559472309787,4.621784282378142,5.68587520446329
