diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,d1cbd93c0a4cdc540acd9bbb7e761d30a03c36ad,3a180b2d834704b44cf2ac6dd3e5916f71615eca,a3549de8f5cff9edcca1387e34b042b3c12200f4,a44fdb6d372fcf497f837f65c84042bdcf45016c,bc5d0eabe580cc188e1ee0d1832c5363905b525b,c629203de592e7ce5fda814ba1b6b6a309b28f8f,253962ed9f55bcbfa9725bf6710ec93a45df3631
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 281)","(512, 512, 233)","(512, 512, 281)","(512, 512, 289)","(512, 512, 273)","(512, 512, 293)","(512, 512, 265)"
diagnostics_Mask-original_BoundingBox,"(180, 296, 138, 29, 28, 17)","(194, 317, 102, 30, 29, 14)","(146, 283, 139, 31, 32, 18)","(216, 285, 151, 27, 28, 17)","(169, 304, 121, 31, 32, 17)","(154, 289, 157, 31, 38, 18)","(169, 299, 115, 33, 31, 18)"
diagnostics_Mask-original_VoxelNum,4660,4147,6302,4653,5719,7183,6610
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(195.0098712446352, 310.3311158798283, 146.20450643776823)","(210.1138172172655, 332.60525681215336, 109.11574632264288)","(161.46033005395114, 299.01190098381466, 148.2713424309743)","(229.81968622394155, 299.24306898774984, 159.50419084461637)","(185.09092498688582, 320.29445707291484, 129.2622836160168)","(170.04427119587916, 309.12265070304886, 165.53905053598774)","(185.42813918305598, 314.853706505295, 123.61724659606656)"
diagnostics_Mask-original_CenterOfMass,"(195.0098712446352, 310.3311158798283, 146.20450643776823)","(210.1138172172655, 332.60525681215336, 109.11574632264288)","(161.46033005395114, 299.01190098381466, 148.2713424309743)","(229.81968622394155, 299.24306898774984, 159.50419084461637)","(185.09092498688582, 320.29445707291484, 129.2622836160168)","(170.04427119587916, 309.12265070304886, 165.53905053598774)","(185.42813918305598, 314.853706505295, 123.61724659606656)"
original_shape_Elongation,0.7492570266607665,0.7811225104253662,0.8339078208212132,0.8537549671259853,0.8182148808731016,0.7696381434171111,0.7849710086720697
original_shape_Flatness,0.47258717396545563,0.3795556568434936,0.4731425534253508,0.5336254805355393,0.45489827845630026,0.4090689986373424,0.4507610596492684
original_shape_LeastAxisLength,12.74113050431349,10.430445605166334,13.569466423794172,13.193840943403748,12.876348694583214,13.228075084194646,13.611865065495971
original_shape_MajorAxisLength,26.960381504650865,27.480674881542427,28.679446237834682,24.724908057543633,28.305995657488904,32.33702658539009,30.19751767396943
original_shape_Maximum2DDiameterColumn,29.614185789921695,30.265491900843113,31.064449134018133,27.65863337187866,31.400636936215164,31.25699921617557,33.24154027718932
original_shape_Maximum2DDiameterRow,27.018512172212592,28.071337695236398,31.064449134018133,28.0178514522438,31.016124838541646,37.013511046643494,30.066592756745816
original_shape_Maximum2DDiameterSlice,31.240998703626616,32.55764119219941,34.132096331752024,29.206163733020468,33.301651610693426,39.35733730830886,34.48187929913333
original_shape_Maximum3DDiameter,31.38470965295043,32.61901286060018,34.14674215792775,29.8496231131986,34.19064199455752,39.44616584663204,35.510561809129406
original_shape_MeshVolume,4602.666666666667,4109.166666666667,6248.666666666667,4599.208333333333,5690.958333333333,7112.75,6562.958333333333
original_shape_MinorAxisLength,20.200255283814627,21.465773751653725,23.91601451455186,21.109013065861173,23.160386864886814,24.887809104809396,23.704175907928438
original_shape_Sphericity,0.6648760567389704,0.6389587007859291,0.665068350185624,0.6798758271271541,0.6630729419039424,0.6509044099190413,0.6606726838634823
original_shape_SurfaceArea,2012.5643710838326,1941.6927414653624,2466.8500373682164,1967.1761301341396,2324.768732181837,2747.843156543763,2565.8476827842082
original_shape_SurfaceVolumeRatio,0.4372605093606241,0.47252713237851035,0.39478022576041016,0.4277205961462512,0.40850215306710275,0.3863264077246864,0.3909590084935084
original_shape_VoxelVolume,4660.0,4147.0,6302.0,4653.0,5719.0,7183.0,6610.0
original_firstorder_10Percentile,-954.0,-987.0,-960.0,-954.0,-957.0,-951.0,-983.0
original_firstorder_90Percentile,-459.0,-717.5999999999999,-810.0999999999995,-792.0,-793.0,-809.0,-819.0
original_firstorder_Energy,2921567041.0,3401137592.0,5032772422.0,3660041328.0,4476548731.0,5693692144.0,5493925517.0
original_firstorder_Entropy,4.607506627728884,3.4835476679385664,3.2061067158771532,3.3113141932064556,3.40056787310485,3.10903709454178,3.329196389029345
original_firstorder_InterquartileRange,277.0,72.0,58.0,64.0,68.5,51.0,65.0
original_firstorder_Kurtosis,4.460050659203916,16.785258877473414,30.752733524600103,26.835692895565497,20.21029545084993,33.444395675775624,28.091581603353717
original_firstorder_Maximum,261.0,544.0,249.0,295.0,40.0,220.0,153.0
original_firstorder_MeanAbsoluteDeviation,166.46593554863784,131.8181216935447,59.57721914257322,63.63475147282439,62.073226246853096,54.76926709619906,59.46237145845589
original_firstorder_Mean,-764.2401287553648,-873.0841572220883,-886.8686131386861,-879.8087255534064,-878.5653086203881,-884.6674091605179,-905.9136157337367
original_firstorder_Median,-841.0,-949.0,-911.0,-907.0,-902.0,-907.0,-928.0
original_firstorder_Minimum,-1017.0,-1024.0,-1015.0,-1024.0,-1022.0,-1004.0,-1024.0
original_firstorder_Range,1278.0,1568.0,1264.0,1319.0,1062.0,1224.0,1177.0
original_firstorder_RobustMeanAbsoluteDeviation,118.03831609513473,36.48578586622209,25.837107551743408,28.831497536147022,30.305815932573903,23.546806396194075,28.554781808352292
original_firstorder_RootMeanSquared,791.7990382368431,905.6180774711738,893.6438003074777,886.9037034758625,884.7317440678597,890.3157523817952,911.6762766652375
original_firstorder_Skewness,1.2961220288461952,3.628623842577851,4.420087068060134,4.087217118093792,3.454481772603092,4.538047189287575,4.014144974497861
original_firstorder_TotalEnergy,2921567041.0,3401137592.0,5032772422.0,3660041328.0,4476548731.0,5693692144.0,5493925517.0
original_firstorder_Uniformity,0.05722236548840466,0.1532118214805325,0.15484986555778488,0.1460342388912838,0.13270266840138403,0.16918380209556694,0.13908019985306266
original_firstorder_Variance,42882.742552773125,57868.15665038088,12063.304857454594,12534.785679291328,10873.257450118954,10025.71410837874,10474.15426241815
original_glcm_Autocorrelation,185.10918913076148,111.84238706813042,47.70457647999963,49.97998619723247,51.058392423912,46.67873859420318,37.299840875472405
original_glcm_ClusterProminence,219167.4556645753,1590272.0601575759,91301.05683831825,72602.85256489302,47625.55352020671,64404.955675251855,60442.47947193367
original_glcm_ClusterShade,3977.133195225446,19841.017601345407,1754.1831252719146,1511.1553055824918,1161.9442621771143,1292.0892866166446,1225.283251091853
original_glcm_ClusterTendency,241.9226648134348,331.2046350162194,58.53273658950696,56.765040051098524,53.86444961099389,47.265456157122344,48.78640515142229
original_glcm_Contrast,38.05817507281424,68.035164938842,14.302258273357676,16.562869541745513,12.975163526979296,11.744560069494272,10.911707634252364
