diagnostics_Image-original_Hash,033088426a85f676a3ace65e998d85e1c217bfe8,17cf530605cf63edaebab3f013c6f9c21017cfa8,1fdd8ccfcf2af920b67629f35c2189f6b364f612,3ea681edbc43f76310b1983d150909e26096ac05,304f7581bf544cb9305052603b91ad9bb1ae0016
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 253)","(512, 512, 249)","(512, 512, 261)","(512, 512, 241)","(512, 512, 241)"
original_shape_SurfaceVolumeRatio,0.34481923429122785,0.36969190470587515,0.2849246243950306,0.3620108861043711,0.3626953827614715
original_shape_VoxelVolume,11702.0,7856.0,20188.0,12472.0,10226.0
original_firstorder_10Percentile,-902.0,-911.0,-951.3,-953.0,-924.0
original_firstorder_90Percentile,-104.0,-236.0,-294.0,-376.0,-292.5
original_firstorder_Energy,6098031425.0,4460243918.0,12154644285.0,8311239909.0,6309402914.0
original_firstorder_Entropy,4.760426434556412,4.5052183257713745,4.740966150158551,4.299857034134339,4.311626034362105
original_firstorder_InterquartileRange,362.0,311.0,274.0,187.0,218.0
original_firstorder_Kurtosis,3.5735905494475406,4.236078855576259,4.8694648639370355,6.848609157947569,5.302653826683132
original_firstorder_Maximum,822.0,756.0,740.0,835.0,705.0
original_firstorder_MeanAbsoluteDeviation,245.84838933439693,220.02808508862165,205.618477744706,184.0928133926988,197.23195079297065
original_firstorder_Mean,-655.5823790804991,-701.027749490835,-728.5835644937587,-775.3568794098782,-740.631918638764
original_firstorder_Median,-808.0,-838.0,-839.0,-887.0,-866.0
original_firstorder_Minimum,-993.0,-992.0,-1012.0,-1000.0,-994.0
original_firstorder_Range,1815.0,1748.0,1752.0,1835.0,1699.0
original_firstorder_RobustMeanAbsoluteDeviation,170.6609341281666,145.65643712355396,129.4385874231191,98.1983119785752,114.8665691212433
original_firstorder_RootMeanSquared,721.879621841016,753.4918642972318,775.9334575738594,816.3283105465248,785.4910424582346
original_firstorder_Skewness,1.2856187084913668,1.4698013798492813,1.5676723583363463,2.0437250616421125,1.763835639317282
original_firstorder_TotalEnergy,6098031425.0,4460243918.0,12154644285.0,8311239909.0,6309402914.0
original_firstorder_Uniformity,0.05867874643839359,0.07829801627876107,0.05518455917977118,0.08570759759076496,0.09177373292018146
original_firstorder_Variance,91321.93266848117,76310.08400593318,71238.7201320933,65213.62015151915,68460.53887558736
original_glcm_Autocorrelation,329.92639977511465,252.0595120481544,256.90698255630883,172.80164410929586,203.8165413468026
original_glcm_ClusterProminence,979636.2819424325,724168.1846886446,800388.6510733486,835770.1763676641,742117.4890679178
original_glcm_ClusterShade,15348.151017684324,12195.74776335054,12566.881354395773,13463.809500216295,12801.752082967387
original_glcm_ClusterTendency,539.2721667805213,431.87271607755986,428.5216207363944,368.4761760628223,384.65630265904076
original_glcm_Contrast,52.138376633760124,58.25454652456027,44.27666489899829,48.49713694048275,46.89004946080677
original_glcm_Correlation,0.8236428081900289,0.7622892037683394,0.8131848980477516,0.7672522826490026,0.782154330601605
original_glcm_DifferenceAverage,4.5167878084164945,4.751460158226548,3.996588105137765,3.928974672164565,4.069102437233185
original_glcm_DifferenceEntropy,3.6601717133047353,3.725077399216381,3.491726332512155,3.4397746324058387,3.508915009871782
original_glcm_DifferenceVariance,30.80509788625546,35.001407899421935,27.37707535912176,32.36609067286805,29.653937211918517
original_glcm_Id,0.38673366067216125,0.3914107432885531,0.4225379410782554,0.44983893637251937,0.4284462459484014
original_glcm_Idm,0.3187504536568009,0.32696973272406155,0.36037426794393035,0.39360009737876306,0.3679890506110351
original_glcm_Idmn,0.9907910571589225,0.9892037693027766,0.9917785192700204,0.9918417890059168,0.9908342693762001
original_glcm_Idn,0.9461307763401158,0.9424177112111436,0.9508661364014637,0.9539846419138651,0.9489709509475165
original_glcm_Imc1,-0.1838622718869933,-0.16162327145887437,-0.22698121159640472,-0.19562106794041093,-0.17037938508568337
original_glcm_Imc2,0.8974253216463458,0.8681193531319609,0.9323487117498027,0.8941462606064913,0.8644730977229895
original_glcm_InverseVariance,0.2936262159896425,0.29204785651640697,0.3164915921442403,0.32541974817776353,0.31444323342578795
original_glcm_JointAverage,14.427026892611687,12.595687491812582,12.682366689445292,9.633568416622065,10.925737438922665
original_glcm_JointEnergy,0.008321269823133236,0.013800262138403293,0.009745490819738679,0.017254236537465446,0.018983840045519534
original_glcm_JointEntropy,8.665741668236793,8.315148771183239,8.48805318959344,7.813801319368977,7.87265071469135
original_glcm_MCC,0.8363051072013565,0.7905360245441666,0.8669329489251362,0.8001197598774117,0.7954745411441586
original_glcm_MaximumProbability,0.03231207136818995,0.055974447264676166,0.03965727555325028,0.054140537245372926,0.08028604566551757
original_glcm_SumAverage,28.85405378522344,25.191374983625185,25.36473337889057,19.267136833244116,21.85147487784534
original_glcm_SumEntropy,5.760350279400511,5.491769068833514,5.757667365462159,5.329322379810508,5.279785750300718
original_glcm_SumSquares,147.85263585357032,122.53181565052998,118.19957140884813,104.24332825082622,107.88658802996186
original_gldm_DependenceEntropy,7.6845558102560885,7.361356734272935,7.829552441663974,7.492431682566843,7.3357181531826745
