diagnostics_Image-original_Hash,033088426a85f676a3ace65e998d85e1c217bfe8,17cf530605cf63edaebab3f013c6f9c21017cfa8,1fdd8ccfcf2af920b67629f35c2189f6b364f612,3ea681edbc43f76310b1983d150909e26096ac05,304f7581bf544cb9305052603b91ad9bb1ae0016
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 253)","(512, 512, 249)","(512, 512, 261)","(512, 512, 241)","(512, 512, 241)"
original_shape_SurfaceVolumeRatio,0.36263280677544063,0.4007440004657095,0.40844984460173905,0.4147698332749295,0.39820336826978797
original_shape_VoxelVolume,11664.0,7714.0,7294.0,6487.0,7365.0
original_firstorder_10Percentile,-917.0,-929.0,-905.0,-942.0,-926.0
original_firstorder_90Percentile,-512.2999999999993,-626.0,-548.3000000000002,-613.5999999999995,-610.0
original_firstorder_Energy,7833601581.0,5517788381.0,4719596356.0,4645906197.0,5208095575.0
original_firstorder_Entropy,3.741064127012267,3.442736569839477,3.8950253252710256,3.7677744941198292,3.46056309563947
original_firstorder_InterquartileRange,95.0,69.0,104.0,90.0,74.0
original_firstorder_Kurtosis,8.768718923452273,10.880032869444955,9.249269198442418,10.044588917968365,10.696528812486942
original_firstorder_Maximum,119.0,146.0,141.0,83.0,136.0
original_firstorder_MeanAbsoluteDeviation,148.31497737401705,128.49862766309354,136.19391578235255,128.07511868313358,133.5963650760072
original_firstorder_Mean,-786.7315672153635,-818.8793103448276,-775.7622703591993,-821.2151996300292,-811.9642905634759
original_firstorder_Median,-875.0,-895.0,-853.0,-893.0,-892.0
original_firstorder_Minimum,-1014.0,-1005.0,-1024.0,-1023.0,-979.0
original_firstorder_Range,1133.0,1151.0,1165.0,1106.0,1115.0
original_firstorder_RobustMeanAbsoluteDeviation,55.58273352866048,40.34416144782181,54.327379172716775,47.90796738497551,42.82471485205402
original_firstorder_RootMeanSquared,819.5151455689348,845.7513562651375,804.3953457248156,846.2784257478351,840.9169319797029
original_firstorder_Skewness,2.55639609428225,2.9080828432779597,2.589660297138493,2.7281592844690636,2.8820017508456033
original_firstorder_TotalEnergy,7833601581.0,5517788381.0,4719596356.0,4645906197.0,5208095575.0
original_firstorder_Uniformity,0.13343623163248602,0.16906285901964913,0.11112603941669136,0.12188242679284883,0.1618331690270997
original_firstorder_Variance,52658.51496373039,44732.031713498975,45244.77211088605,41792.76978284515,47855.27733990742
original_glcm_Autocorrelation,176.31230385373703,138.33314613267706,176.60901414470075,134.21054667006499,130.86866748602142
original_glcm_ClusterProminence,852050.8996758102,730386.4035931529,649065.4159688359,589356.188622714,835014.0063857113
original_glcm_ClusterShade,14057.798622349792,12151.94886022867,11275.794111889558,10363.398715348294,13474.716028593804
original_glcm_ClusterTendency,320.6755750984239,269.0225180152928,278.97556548274144,253.88904215126635,289.8786349279009
original_glcm_Contrast,38.02558359400821,38.31427632026621,33.69634047390261,35.151700717565355,40.416782184186104
original_glcm_Correlation,0.7901503976013227,0.7531250469873656,0.7867691931797,0.7590528202765697,0.7577065776772998
original_glcm_DifferenceAverage,3.2997637726279487,3.126565193398605,3.298423049836605,3.257063212222521,3.220096419709824
original_glcm_DifferenceEntropy,3.128059471440871,3.0268823501928668,3.1675424345697243,3.1382757632873544,3.064854618443688
original_glcm_DifferenceVariance,26.17503349482452,27.809919078314667,21.903537462364252,23.730173434800754,29.285848702081317
original_glcm_Id,0.48531353497398594,0.5143889857308115,0.4552560505844329,0.4734421257467727,0.5035011461909595
original_glcm_Idm,0.43410914962709196,0.4687212838314632,0.39589701414062983,0.4188658322801619,0.45598470925821677
original_glcm_Idmn,0.9845705969734848,0.985333050009682,0.9865018771899933,0.9849784497144415,0.9841329165528694
original_glcm_Idn,0.9414167707205243,0.9459897185749402,0.941353458556685,0.9404407382123575,0.9435696508496674
original_glcm_Imc1,-0.17137426540330558,-0.16407739225214565,-0.18247736634109657,-0.1713733046688399,-0.1626841545773773
original_glcm_Imc2,0.8293468696092862,0.8078820965803164,0.856072283630803,0.8340844273902677,0.8072589143627944
original_glcm_InverseVariance,0.3655222648921355,0.37233977478655605,0.35621940663714463,0.36399949609575594,0.3741424121671383
original_glcm_JointAverage,10.278257377566625,8.980556144849398,10.736967008285209,8.917409984906236,8.276328332690337
original_glcm_JointEnergy,0.030086460438658473,0.045343258544640205,0.02074181184835288,0.0241586005257909,0.0398626783183838
original_glcm_JointEntropy,6.917407760433113,6.37963291230371,7.176998638580889,6.992473682758883,6.447743296432126
original_glcm_MCC,0.8015719993726527,0.766749203107395,0.7984934652321402,0.7705409447627896,0.7688144657085931
original_glcm_MaximumProbability,0.08483831600137146,0.14430498262335228,0.0722331935815609,0.07630907565025248,0.12747180113984402
original_glcm_SumAverage,20.556514755133247,17.961112289698793,21.47393401657045,17.83481996981248,16.552656665380677
original_glcm_SumEntropy,4.736711731872142,4.409955442231209,4.866441735782288,4.741392660565554,4.461984139015306
original_glcm_SumSquares,89.67528967310803,76.83419858388972,78.16797648916102,72.26018571720786,82.57385427802176
original_gldm_DependenceEntropy,7.022102378018398,6.796102291633812,7.003013737137714,7.0073358937654975,6.752395409289252
original_gldm_DependenceNonUniformity,877.8388203017832,524.9452942701581,651.7545928160132,529.834592261446,525.0252545824848
original_gldm_DependenceNonUniformityNormalized,0.075260529861264,0.06805098447889009,0.08935489344886388,0.08167636692792446,0.07128652472267274
original_gldm_DependenceVariance,18.92679570145134,24.3289514184467,13.679797744599513,15.991118877899993,21.094022267296975
original_gldm_GrayLevelNonUniformity,1556.4002057613168,1304.1508944775733,810.5533315053468,790.6513026052104,1191.9012898845892
original_gldm_GrayLevelVariance,84.35656118811872,71.62568972272885,72.3984794981944,66.9165552411341,76.61928500748252
original_gldm_HighGrayLevelEmphasis,185.3914609053498,148.53681617837697,182.40389361118727,142.09002620625867,141.34256619144602
original_gldm_LargeDependenceEmphasis,60.54389574759945,75.09411459683692,44.31861804222649,51.87467242176661,67.24358452138493
original_gldm_LargeDependenceHighGrayLevelEmphasis,4695.211419753086,3197.0348716619133,2941.0474362489717,2453.6753507014027,3329.6361167684995
original_gldm_LargeDependenceLowGrayLevelEmphasis,1.906610780690356,2.9094640325699865,1.133239093784552,2.3449308558984425,3.987385265837746
original_gldm_LowGrayLevelEmphasis,0.024323588736240673,0.030734434705681647,0.02006473579629715,0.03614050503513701,0.0448781538976414
original_gldm_SmallDependenceEmphasis,0.1655160250020587,0.16312020649601333,0.18071156752004972,0.16884063211346487,0.16832199529556305
original_gldm_SmallDependenceHighGrayLevelEmphasis,66.64477289849916,59.93118639985024,71.89245027562231,55.85895222740442,57.798734415119995
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0020202442969713213,0.002466018974331462,0.0022498600735277757,0.0032915241932376734,0.003424489050641392
original_glrlm_GrayLevelNonUniformity,1012.6289572221226,778.995073288137,580.1822186642415,549.6014697564548,750.0419322892378
original_glrlm_GrayLevelNonUniformityNormalized,0.10960303049168216,0.1317702468487596,0.09626125363966899,0.10470773539605206,0.1308556286846472
original_glrlm_GrayLevelVariance,92.5497976884794,83.77264673096934,79.71106049320821,74.39243848889063,86.18437520108303
original_glrlm_HighGrayLevelRunEmphasis,209.35387989524378,176.76143134465758,203.05174293589533,160.99956295457156,163.97625066681388
original_glrlm_LongRunEmphasis,2.0640358276095805,2.305479428502613,1.797861501394006,1.9106008052074042,2.1457958306886185
original_glrlm_LongRunHighGrayLevelEmphasis,306.70582308217865,247.23304899807783,270.2597282867346,215.67050234193007,230.82742270276538
original_glrlm_LongRunLowGrayLevelEmphasis,0.055178711648086444,0.07816786991246252,0.0387918370640267,0.07462617581775068,0.10761116505206209
original_glrlm_LowGrayLevelRunEmphasis,0.022776101123286645,0.028615454708912427,0.019141889525116064,0.03429081528657043,0.04143723062313303
original_glrlm_RunEntropy,4.823833092989499,4.658695556995142,4.800758441713136,4.752543084033887,4.604495237305752
original_glrlm_RunLengthNonUniformity,6297.626038071432,3872.4316320247917,4355.976573481507,3674.4049963187085,3804.4083461248374
original_glrlm_RunLengthNonUniformityNormalized,0.6788857858594729,0.6525836436259491,0.7201337984250228,0.697136909131182,0.6620124556721011
original_glrlm_RunPercentage,0.7903410889522001,0.7644243234079895,0.8255679061821096,0.8080658358136391,0.7771789649590056
original_glrlm_RunVariance,0.4393286131064069,0.5675819689072783,0.315388667216818,0.35998712550241463,0.4747106962450591
original_glrlm_ShortRunEmphasis,0.8490267238737222,0.8337889566144537,0.8724092642673538,0.8595522555043826,0.8399824182050339
original_glrlm_ShortRunHighGrayLevelEmphasis,193.39144762030867,165.85561632558213,191.6411963980454,151.2760268772672,152.62754500007816
original_glrlm_ShortRunLowGrayLevelEmphasis,0.01832928303139997,0.02248925366486852,0.01607739177577693,0.02823715248717533,0.03257093832673981
original_glszm_GrayLevelNonUniformity,73.96896217264792,56.42538975501114,51.148414985590776,44.0121107266436,54.072868217054264
original_glszm_GrayLevelNonUniformityNormalized,0.03587243558324341,0.04188967316630374,0.036850443073192206,0.038072760144155365,0.04191695210624362
original_glszm_GrayLevelVariance,117.02598049222878,119.02343848603046,114.01780390170171,106.74319258030914,119.52318310197704
original_glszm_HighGrayLevelZoneEmphasis,424.8055286129971,391.65330363771346,420.7723342939481,358.36072664359864,368.8937984496124
original_glszm_LargeAreaEmphasis,6431.612997090204,6277.955456570156,2561.585014409222,2552.350346020761,5574.393023255814
original_glszm_LargeAreaHighGrayLevelEmphasis,236109.777885548,181232.2323682257,112024.28530259366,71636.8650519031,114592.26666666666
original_glszm_LargeAreaLowGrayLevelEmphasis,195.6510857546292,229.72071628903225,63.81333744298245,105.0675041089732,311.0840415657842
original_glszm_LowGrayLevelZoneEmphasis,0.011734474995070326,0.01389924574255515,0.012059061324250648,0.018365185020192888,0.01775377367468332
original_glszm_SizeZoneNonUniformity,884.4141610087294,609.6933927245731,585.1916426512968,487.55190311418687,620.1798449612403
original_glszm_SizeZoneNonUniformityNormalized,0.42891084433013066,0.45263058108728516,0.4216078117084271,0.42175770165587095,0.4807595697373956
original_glszm_SmallAreaEmphasis,0.6804236640108752,0.6995402192437473,0.675301019191005,0.6749541212950232,0.7207945621126677
original_glszm_SmallAreaHighGrayLevelEmphasis,315.57181065323647,291.8014608005935,313.86130238196756,264.8339760741903,285.0560993922704
original_glszm_SmallAreaLowGrayLevelEmphasis,0.00637177780834015,0.008348680088024541,0.007157708072145685,0.010045007498601616,0.01127380875316262
original_glszm_ZoneEntropy,6.816161143762599,6.5621562450025,6.802926312416065,6.72245927998023,6.520565318269909
original_glszm_ZonePercentage,0.17678326474622771,0.1746175784288307,0.19029339182890045,0.17820255896408202,0.17515274949083504
original_glszm_ZoneVariance,6399.615375352436,6245.159214928937,2533.9695350845864,2520.8603846637375,5541.796890210924
original_ngtdm_Busyness,3.651419069220027,2.8252464973099376,1.7075561079136652,2.270345109322106,3.283590024502459
original_ngtdm_Coarseness,0.0005845680614357398,0.0007930690297043898,0.001159211583921831,0.0011574737408230808,0.0007985482305212544
original_ngtdm_Complexity,2106.3964863702195,2230.456721889876,2031.191486002795,2003.452238623748,2282.766946141915
original_ngtdm_Contrast,0.15542352940026447,0.12339195220575659,0.11852609953054664,0.12274694983145557,0.14052376617518003
original_ngtdm_Strength,1.8259927120398718,3.190449516835234,3.1965391153831084,3.368608817599623,3.2358200014688325
