diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,b58c32f15380303943b79115c5bf9093253c1f6a,282a31f1016a24d7c0a791892a308d930b2b74e6,f1fe9d74c08de3437e8f193f716f6c56fa4515f2,a6e3bcb137177fb9c029312f1a587fe4dee28297,9d79235d0a853f54cb7f78aeb15b6adbba1fe265,cb4d1e0c4864c2b0b8a0ce23f98360c86cc1dbda,a5b601c3f05b9357277a99abcce3c5d52e8e6f9d
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 225)","(512, 512, 210)","(512, 512, 241)","(512, 512, 237)","(512, 512, 253)","(512, 512, 238)","(512, 512, 196)"
diagnostics_Mask-original_BoundingBox,"(266, 310, 67, 43, 65, 51)","(255, 307, 59, 44, 67, 50)","(307, 298, 81, 42, 71, 56)","(259, 308, 69, 40, 56, 61)","(266, 298, 73, 48, 62, 60)","(216, 302, 72, 68, 68, 57)","(244, 290, 43, 90, 73, 56)"
diagnostics_Mask-original_VoxelNum,39345,37789,40611,36937,38642,47022,50371
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,2
diagnostics_Mask-original_CenterOfMassIndex,"(289.8364722328123, 346.841352141314, 91.45126445545813)","(276.83524306014976, 342.04548942814046, 83.60951599671863)","(326.0560193051144, 335.66893206274165, 108.50116963384305)","(278.5828031513117, 336.6859246825676, 99.30906678939816)","(290.6405465555613, 330.63213601780444, 102.05776098545624)","(253.51044192080303, 337.5299221640934, 97.80292203649356)","(270.6001866153144, 328.7835857934129, 71.87232733120248)"
diagnostics_Mask-original_CenterOfMass,"(289.8364722328123, 346.841352141314, 91.45126445545813)","(276.83524306014976, 342.04548942814046, 83.60951599671863)","(326.0560193051144, 335.66893206274165, 108.50116963384305)","(278.5828031513117, 336.6859246825676, 99.30906678939816)","(290.6405465555613, 330.63213601780444, 102.05776098545624)","(253.51044192080303, 337.5299221640934, 97.80292203649356)","(270.6001866153144, 328.7835857934129, 71.87232733120248)"
original_shape_Elongation,0.5477703727084953,0.56216370900115,0.5565804425699186,0.6365364432733597,0.5856475369258932,0.5440354955976218,0.8302180716099113
original_shape_Flatness,0.4389410401273557,0.4019599092432073,0.40590345223064805,0.3679603234609114,0.34391775330386093,0.3010650260493487,0.6788424409057303
original_shape_LeastAxisLength,28.215304049485304,26.051358167591797,27.1702812272687,23.543865716216498,23.475502754843145,23.768244622447106,42.597958140022286
original_shape_MajorAxisLength,64.28039638603587,64.81083702262787,66.93779291098423,63.98479459625101,68.25906057283959,78.94721261496233,62.750876452549
original_shape_Maximum2DDiameterColumn,51.884487084291386,51.07837115648854,55.65968020030299,61.26989472816156,63.41135544995076,74.2024258363566,86.6083136886985
original_shape_Maximum2DDiameterRow,68.0,72.44998274671983,71.17583859709698,63.89053137985315,61.68468205316454,57.0350769263968,69.35416353759881
original_shape_Maximum2DDiameterSlice,59.90826320300064,55.90169943749474,56.22277118748239,52.773099207835045,54.3323108288245,62.26556030423239,82.28000972289685
original_shape_Maximum3DDiameter,78.82892870006543,78.13449942247023,80.59776671843954,72.99315036357864,77.47257579298626,89.77193325310535,97.18024490605073
original_shape_MeshVolume,39014.208333333336,37479.0,40395.833333333336,36683.416666666664,38419.166666666664,46901.041666666664,50074.875
original_shape_MinorAxisLength,35.21089668622868,36.43430052410953,37.25626640304916,40.7286535758741,39.975750697358855,42.950085941031844,52.096911640267024
original_shape_Sphericity,0.6122383154662829,0.5966401863150329,0.5889253807979231,0.5867839356430491,0.5799735931375418,0.5567148552049938,0.5296551991360198
original_shape_SurfaceArea,9086.127323281415,9077.444855787957,9667.516030052666,9098.834409021278,9493.824475336856,11297.256085189816,12404.258285556061
original_shape_SurfaceVolumeRatio,0.23289277705318248,0.2422008286183718,0.23931963354436717,0.2480367216527344,0.24711167104969803,0.24087431075585172,0.24771421367614122
original_shape_VoxelVolume,39345.0,37789.0,40611.0,36937.0,38642.0,47022.0,50371.0
original_firstorder_10Percentile,-698.0,-821.0,-826.0,-878.0,-884.0,-847.0,-978.0
original_firstorder_90Percentile,138.0,143.0,115.0,119.0,91.0,112.0,-474.0
original_firstorder_Energy,4735585439.0,10065047612.0,10908789148.0,13012366330.0,13988492721.0,14241867422.0,36184733823.0
original_firstorder_Entropy,5.004722062534073,5.4694715921242825,5.304122151179663,5.514926523298761,5.366627612505064,5.4437868711527875,4.223824177747477
original_firstorder_InterquartileRange,371.0,780.0,768.0,774.0,806.0,772.0,123.0
original_firstorder_Kurtosis,2.985506198292667,1.4472785198327245,1.3839362851221175,1.6255772237080743,1.5062269384130873,1.450187278374807,8.160874169059573
original_firstorder_Maximum,837.0,891.0,916.0,883.0,851.0,737.0,635.0
original_firstorder_MeanAbsoluteDeviation,265.5706924810405,357.1363907246601,354.97243450934974,361.39647053252827,361.9901162156149,355.05028899864686,185.26171686414773
original_firstorder_Mean,-123.87126699707714,-340.3546005451322,-350.4159956661988,-440.39006957793,-454.2504787536877,-392.51154778614267,-793.5450755394969
original_firstorder_Median,27.0,-359.0,-364.0,-576.0,-598.0,-461.0,-890.0
original_firstorder_Minimum,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0
original_firstorder_Range,1861.0,1915.0,1940.0,1907.0,1875.0,1761.0,1659.0
original_firstorder_RobustMeanAbsoluteDeviation,183.8145673080981,312.2955949459887,314.73989046037184,307.6743652528107,315.5233809596853,309.83317117733355,61.288041252033715
original_firstorder_RootMeanSquared,346.9301656161681,516.0897302807292,518.2823651085546,593.5363626709893,601.6662662749951,550.3423332095332,847.5638102934246
original_firstorder_Skewness,-1.0811075826804462,0.015961144899479415,-0.023626667853215058,0.3701650769103885,0.3351239604107091,0.14020622910181388,2.498807380989762
