diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,0040b6a6ba02e6db08f95cce53a7dde56c7def94,7bfe57415da2f2ef30bdd8f1aa20fe41e8bc6507,ca3ccf8721bb1d202fe3f275417d1a92a8f120b3,7d4f7445237cb8762a81e4dc0c37d5514a20ee70,2ec95e2613ee2f38ca7b21c6c1bbcdb9ee5b32cb,e890e256792943f06dcf4ffb50f125fdf9cb420c,b94b9d0bac0f00aeef72850f0812ced8b6fb2a36
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 225)","(512, 512, 210)","(512, 512, 241)","(512, 512, 237)","(512, 512, 253)","(512, 512, 238)","(512, 512, 196)"
diagnostics_Mask-original_BoundingBox,"(276, 162, 67, 43, 65, 51)","(267, 170, 60, 39, 62, 50)","(302, 152, 93, 39, 71, 48)","(278, 178, 80, 41, 57, 55)","(272, 157, 80, 46, 63, 55)","(245, 159, 69, 59, 68, 54)","(243, 149, 52, 48, 70, 46)"
diagnostics_Mask-original_VoxelNum,39345,36513,35780,36457,39789,44351,37253
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(299.8364722328123, 198.84135214131402, 91.45126445545813)","(287.1832498014406, 204.8922027770931, 84.12943335250459)","(322.2835103409726, 191.0580212409167, 116.17227501397429)","(300.1825163891708, 209.60062539430012, 106.63979482678224)","(297.6457060996758, 193.36635753600243, 107.21375254467316)","(277.58521792067825, 196.6017677166242, 95.4821762756195)","(269.7192709312002, 188.81896759992483, 74.11368211956083)"
original_glrlm_RunVariance,0.28564795828724454,0.3501951236647148,0.3018228703839053,0.300623836288092,0.34002390236882685,0.37669238068563476,0.13096090797471438
original_glrlm_ShortRunEmphasis,0.8860842311218671,0.8755280039574915,0.8841919778929033,0.8808648512144158,0.8748988152663499,0.8705082558900215,0.9236208430407576
original_glrlm_ShortRunHighGrayLevelEmphasis,457.393637164187,378.08664490438025,380.2649435649367,393.0864304530271,369.973211132987,380.8765935088764,104.18850915400616
original_glrlm_ShortRunLowGrayLevelEmphasis,0.014755671329737428,0.017257381069286645,0.014276647776487806,0.01848849352061584,0.01770346933567424,0.01510674614746014,0.0965989026525748
original_glszm_GrayLevelNonUniformity,241.59307782557684,237.42147592652972,236.4099945085118,232.82161049095046,252.44095386210472,279.6782963719031,469.2730627306273
original_glszm_GrayLevelNonUniformityNormalized,0.02362075457817529,0.0258038773966449,0.025964853872434027,0.025232644466343393,0.026173245605194892,0.025951405434898683,0.054113591182037284
original_glszm_GrayLevelVariance,202.67450470110575,154.95676097166066,150.79222936025215,181.41170453749015,156.38336781561932,154.32315421868367,132.83617924379777
original_glszm_HighGrayLevelZoneEmphasis,756.2533242080564,627.3162699706554,621.2271279516749,667.1394819551317,610.18600311042,634.578361325044,270.4167435424354
original_glszm_LargeAreaEmphasis,2706.5233672272193,3026.4504945114663,2847.849972542559,3517.649615259564,3765.385069984448,3805.549874733228,7660.506111623617
original_glszm_LargeAreaHighGrayLevelEmphasis,235413.32792334768,222354.80502119334,263364.49478308624,251855.395686572,306698.49175738724,396946.99953604897,195395.7521909594
original_glszm_LargeAreaLowGrayLevelEmphasis,48.762757586123314,63.362169889366385,53.44688920757239,79.32905953473198,86.50409161016324,76.25754704861805,367.7732966570895
original_glszm_LowGrayLevelZoneEmphasis,0.00935369520959006,0.009716582167678754,0.008514061207083517,0.01153536634483309,0.01152735392254526,0.008589938258553507,0.11255915695554378
original_glszm_SizeZoneNonUniformity,4871.510950332421,4299.128681665036,4275.220977484898,4472.874065243308,4563.621669258683,5032.079521202561,4164.813191881919
original_glszm_SizeZoneNonUniformityNormalized,0.4762916455154889,0.4672458082453034,0.46954651043216894,0.4847593004490417,0.4731593228884068,0.4669276720054339,0.4802598237871216
original_glszm_SmallAreaEmphasis,0.717637787773657,0.7105493064283295,0.7124573570889057,0.7239074846980025,0.7153092316730791,0.7105151631335963,0.720494829317053
original_glszm_SmallAreaHighGrayLevelEmphasis,577.1237571519027,468.24701379814496,464.5158175431436,508.95544477647354,460.41719514987426,474.76817601190663,226.72223417785412
original_glszm_SmallAreaLowGrayLevelEmphasis,0.004914201201713919,0.0049923835729360775,0.004619233228288474,0.006394042508782879,0.006372743696366538,0.004710952761014203,0.07094512553660873
original_glszm_ZoneEntropy,7.263931704185283,7.107713607265124,7.106182694220304,7.135993873385219,7.101470773098028,7.121466766284838,6.437933790050047
original_glszm_ZonePercentage,0.25995679247680775,0.25199244104839374,0.25447177193963105,0.2530926845324629,0.24240367940888186,0.24299339361006517,0.2327866212117145
original_glszm_ZoneVariance,2691.7255499427292,3010.702510221047,2832.4073601020013,3502.038252507892,3748.3665580035263,3788.6138660658985,7642.052389936629
original_ngtdm_Busyness,4.67051116585481,3.6767811144931284,3.7235577461333755,5.100113179901893,4.627061411694966,3.9354836917705605,11.315417011588838
original_ngtdm_Coarseness,0.00024065814318659917,0.00026423905644460603,0.00025438732899791123,0.0002396861993327351,0.00022983727371927298,0.00022586425554727027,0.00014318382296582763
original_ngtdm_Complexity,5628.857585270121,5726.403418919011,5892.013273077626,5569.238866506435,5246.53377353663,5519.596762695425,9692.849866213703
original_ngtdm_Contrast,0.2855238216581511,0.19900935973919606,0.21700782191355425,0.25859274251376047,0.22655682644724698,0.1987691638480469,0.06811842873868369
original_ngtdm_Strength,1.0579064947378887,1.3314788346116049,1.2065048567656467,1.156564792966869,1.1023008695501502,1.1951496560824235,1.4950954031207895
