diagnostics_Image-original_Hash,8b41fa82fa32d3077e4c0058a605a1b3de055fee,ae0ed9bf1695b0af19c78e16ba61d41cb573b538,6d23f338e5f56ecb94bfaaf35a55d55152815043,5bf30e246bfbf4d06ec94ab2e27a639a6307822f
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 223)","(512, 512, 273)","(512, 512, 256)","(512, 512, 297)"
original_glcm_ClusterProminence,395543.6073,1897550.728,2420555.83,1769868.621
original_glcm_ClusterShade,6100.350383,-19343.45136,-19175.83051,-10200.6843
original_glcm_ClusterTendency,132.4930773,845.5422815,936.8661458,1143.305976
original_glcm_Contrast,28.62374465,86.71726295,62.61067173,69.72783899
original_glcm_Correlation,0.646391932,0.813624763,0.874548676,0.885013752
original_glcm_DifferenceAverage,2.835031373,5.638415842,4.393989813,4.701820115
original_glcm_DifferenceEntropy,2.966382146,3.856058856,3.519197954,3.548656552
original_glcm_DifferenceVariance,20.28934733,53.15248535,42.56814149,46.36736639
original_glcm_Id,0.472364391,0.383211765,0.428019107,0.436662095
original_glcm_Idm,0.414329515,0.321956963,0.369736771,0.383174368
original_glcm_Idmn,0.991675819,0.990341271,0.996048256,0.980646798
original_glcm_Idn,0.955645294,0.947082682,0.967783286,0.932444817
original_glcm_Imc1,-0.118876536,-0.251618549,-0.279904034,-0.273816941
original_glcm_Imc2,0.735229188,0.959298301,0.96895552,0.96346532
original_glcm_InverseVariance,0.39108303,0.291450849,0.333057855,0.333341521
original_glcm_JointAverage,7.023156014,32.87483456,31.95305132,26.95209782
original_glcm_JointEnergy,0.024760746,0.004526097,0.005633232,0.008525462
original_glcm_JointEntropy,6.620199941,9.111429199,8.875561869,8.619914445
original_glcm_MCC,0.691648796,0.84964441,0.909167179,0.902220889
original_glcm_MaximumProbability,0.065353429,0.017131797,0.018189233,0.034680059
original_glcm_SumAverage,14.04631203,65.74966913,63.90610264,53.90419563
original_glcm_SumEntropy,4.365675992,6.246814357,6.162875948,6.04265921
original_glcm_SumSquares,40.27920548,233.0648861,249.8692044,303.2584537
original_gldm_DependenceEntropy,6.634766855,8.114426433,8.313844872,8.082393025
original_gldm_DependenceNonUniformity,684.6931667,650.9191808,982.7261272,732.8532964
original_gldm_DependenceNonUniformityNormalized,0.091025414,0.119019781,0.096744057,0.092206001
original_gldm_DependenceVariance,10.4549978,13.56091063,14.927827,17.5960872
original_gldm_GrayLevelNonUniformity,1022.526722,198.6112635,385.5652688,371.3595873
original_gldm_GrayLevelVariance,38.47776198,237.367728,255.377753,304.2452166
original_gldm_HighGrayLevelEmphasis,86.96171231,1309.526056,1261.113014,1024.682687
original_gldm_LargeDependenceEmphasis,40.69476203,34.70341927,42.80389841,48.81982889
original_gldm_LargeDependenceHighGrayLevelEmphasis,1244.711513,52070.38215,52702.69915,49259.10745
original_gldm_LargeDependenceLowGrayLevelEmphasis,2.12715659,0.503049153,1.055936345,2.053416983
original_gldm_LowGrayLevelEmphasis,0.053346239,0.014986264,0.016755739,0.025966728
original_gldm_SmallDependenceEmphasis,0.16667879,0.293021082,0.234470495,0.235294009
original_gldm_SmallDependenceHighGrayLevelEmphasis,46.79057459,329.2840017,273.9192338,191.5505452
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.006243581,0.002642986,0.002129765,0.003202105
original_glrlm_GrayLevelNonUniformity,765.1310017,157.2913979,293.4595728,261.9221074
original_glrlm_GrayLevelNonUniformityNormalized,0.122910478,0.033362277,0.034554366,0.039980945
original_glrlm_GrayLevelVariance,44.67304947,239.8532829,252.8904447,289.1384718
original_glrlm_HighGrayLevelRunEmphasis,98.36916677,1283.582876,1258.871986,1016.903114
original_glrlm_LongRunEmphasis,1.763573102,1.582168598,1.738266924,1.81274663
original_glrlm_LongRunHighGrayLevelEmphasis,122.9387793,2144.850885,2190.721088,1865.51593
original_glrlm_LongRunLowGrayLevelEmphasis,0.093948407,0.023784216,0.032403902,0.055090404
original_glrlm_LowGrayLevelRunEmphasis,0.053118014,0.014763716,0.015684251,0.023498385
original_glrlm_RunEntropy,4.404782752,5.92225741,5.998376021,5.835936154
original_glrlm_RunLengthNonUniformity,4469.839616,3658.772766,6280.880079,4745.951115
original_glrlm_RunLengthNonUniformityNormalized,0.716091766,0.775340431,0.738154965,0.723653497
original_glrlm_RunPercentage,0.826958869,0.861611601,0.835393097,0.823545352
original_glrlm_RunVariance,0.289922701,0.230830735,0.296518585,0.331720989
original_glrlm_ShortRunEmphasis,0.870538055,0.901636674,0.882294583,0.874756461
original_glrlm_ShortRunHighGrayLevelEmphasis,93.88715883,1140.171223,1107.503419,881.7141641
original_glrlm_ShortRunLowGrayLevelEmphasis,0.045915073,0.013051604,0.013154828,0.019019095
original_glszm_GrayLevelNonUniformity,56.51007752,34.19371728,48.06053459,45.5112782
original_glszm_GrayLevelNonUniformityNormalized,0.043806262,0.019891633,0.01889172,0.022812671
original_glszm_GrayLevelVariance,115.2812475,235.3491406,267.3427857,171.6875924
original_glszm_HighGrayLevelZoneEmphasis,298.9782946,1106.680628,1148.083726,797.9413534
original_glszm_LargeAreaEmphasis,4219.113178,216.4845841,728.1808176,795.1819549
original_glszm_LargeAreaHighGrayLevelEmphasis,109948.6992,354137.0145,1028308.661,1014282.726
original_glszm_LargeAreaLowGrayLevelEmphasis,179.6337586,1.581245888,11.45717387,23.53896884
original_glszm_LowGrayLevelZoneEmphasis,0.039730605,0.009369979,0.010023993,0.013732566
original_glszm_SizeZoneNonUniformity,563.544186,934.556719,1275.153302,1032.164912
original_glszm_SizeZoneNonUniformityNormalized,0.436855958,0.543663013,0.501239505,0.517375896
original_glszm_SmallAreaEmphasis,0.686645732,0.764630135,0.73567752,0.746765193
original_glszm_SmallAreaHighGrayLevelEmphasis,248.0892245,835.8334113,842.3468131,564.6522222
original_glszm_SmallAreaLowGrayLevelEmphasis,0.020413884,0.005583442,0.005511741,0.009095368
original_glszm_ZoneEntropy,6.578182513,7.100391643,7.321257623,6.915470404
original_glszm_ZonePercentage,0.171496942,0.31431706,0.250443001,0.251006543
original_glszm_ZoneVariance,4185.112527,206.3626363,712.2373713,779.3100184
original_ngtdm_Busyness,2.224268394,0.121362405,0.141411814,0.344521457
original_ngtdm_Coarseness,0.000898859,0.00205687,0.001550381,0.001468794
original_ngtdm_Complexity,3444.499422,11668.13586,11841.82891,3616.739786
original_ngtdm_Contrast,0.045582766,0.22051265,0.136690604,0.500123778
original_ngtdm_Strength,6.09346884,9.13437147,11.812355,3.163175708
