diagnostics_Mask-original_Size,"(512, 512, 281)","(512, 512, 233)","(512, 512, 281)","(512, 512, 289)","(512, 512, 273)","(512, 512, 293)","(512, 512, 265)"
diagnostics_Mask-original_BoundingBox,"(180, 301, 141, 27, 21, 14)","(201, 326, 106, 18, 17, 9)","(156, 288, 144, 12, 26, 7)","(216, 287, 151, 26, 26, 16)","(170, 310, 121, 29, 24, 16)","(154, 290, 157, 30, 35, 16)","(169, 304, 115, 29, 25, 16)"
diagnostics_Mask-original_CenterOfMass,"(194.8727634194831, 310.012591119947, 147.80914512922465)","(211.14905660377357, 331.59622641509435, 109.79245283018868)","(162.30927835051546, 299.5257731958763, 147.39175257731958)","(228.71565495207668, 298.7667731629393, 159.33226837060704)","(184.8678756476684, 320.56476683937825, 128.67357512953367)","(169.70546318289786, 309.75296912114015, 165.2042755344418)","(183.37203166226914, 315.0369393139842, 123.4089709762533)"
original_shape_Elongation,0.681627007,0.88380799,0.230034269,0.764941096,0.820220006,0.77483198,0.709952533
original_shape_Flatness,0.443765746,0.47121235,0.135683702,0.475322286,0.405570443,0.371881355,0.431653661
original_shape_LeastAxisLength,10.13326076,6.420757647,3.71578865,11.5945954,10.74895554,11.45148588,12.48477293
original_shape_MajorAxisLength,22.83470697,13.62603856,27.3856668,24.39312386,26.50330104,30.79338539,28.92312534
original_shape_Maximum2DDiameterColumn,27.29468813,17,9.055385138,26.17250466,29.06888371,30.06659276,28.86173938
original_shape_Maximum2DDiameterRow,19.92485885,17.02938637,22.36067977,22.20360331,18.97366596,33.13608305,21.02379604
original_shape_Maximum2DDiameterSlice,26.57066051,18.78829423,25.3179778,25.70992026,31.38470965,38.01315562,29.83286778
original_shape_Maximum3DDiameter,27.36786437,20.22374842,26.47640459,26.4952826,32.26453161,38.01315562,32.01562119
original_shape_MeshVolume,1480.375,507.5833333,168.7083333,253.25,320.5,356.7916667,330.1666667
original_shape_MinorAxisLength,15.56475297,12.04280175,6.299641841,18.65930291,21.73853774,23.85969977,20.53404611
original_shape_Sphericity,0.346887465,0.564761514,0.447574314,0.307869135,0.315186862,0.303243106,0.315304759
original_shape_SurfaceArea,1810.825826,544.8671178,329.895704,628.7590883,718.5682775,802.237556,732.6711355
original_shape_SurfaceVolumeRatio,1.223221026,1.073453524,1.955420325,2.482760467,2.242022707,2.248476158,2.219094807
original_shape_VoxelVolume,1509,530,194,313,386,421,379
original_firstorder_10Percentile,-727.2,-981,-725.7,-736,-728.5,-735,-736
original_firstorder_90Percentile,-298,-74.9,-411.3,-303,-376.5,-372,-386.6
original_firstorder_Energy,483330026,365715170,69928412,110302616,138315389,153925456,145735028
original_firstorder_Entropy,4.676251184,4.355588351,3.952360524,4.256682318,4.161207677,4.158458775,3.993576255
original_firstorder_InterquartileRange,230,247.5,188.5,239,198,204,160
original_firstorder_Kurtosis,4.378384542,5.183529367,2.366814391,5.999897146,5.539633982,7.267090192,7.278074388
original_firstorder_Maximum,261,543,-289,295,40,220,153
original_firstorder_MeanAbsoluteDeviation,140.3931384,277.8247917,98.04548836,151.9669487,123.0269001,138.053306,128.4895538
