,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,52853f919b891bdcb816139338a1be0ab8a22830,f28301daf9c2c7cd61da3d8268d934f01ebb5641
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 189)","(512, 512, 230)"
original_gldm_LargeDependenceLowGrayLevelEmphasis,1.6625159217828913,0.8006011418073075
original_gldm_LowGrayLevelEmphasis,0.022656265019965358,0.01869330771320029
original_gldm_SmallDependenceEmphasis,0.1655896601082111,0.16939014719804413
original_gldm_SmallDependenceHighGrayLevelEmphasis,56.83011199799145,62.70809136401118
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0022267679888117184,0.0022114636413919676
original_glrlm_GrayLevelNonUniformity,3570.4251778980683,5302.5016753902655
original_glrlm_GrayLevelNonUniformityNormalized,0.12223083812393046,0.10239332810547816
original_glrlm_GrayLevelVariance,65.00436892863928,67.4148860494632
original_glrlm_HighGrayLevelRunEmphasis,165.52727733335513,181.7825537979283
original_glrlm_LongRunEmphasis,2.0512477412151338,1.7105748937295895
original_glrlm_LongRunHighGrayLevelEmphasis,235.86350096984216,241.87260676839335
original_glrlm_LongRunLowGrayLevelEmphasis,0.04995249713931361,0.03330145338882345
original_glrlm_LowGrayLevelRunEmphasis,0.02155645761579885,0.01822679246416918
original_glrlm_RunEntropy,4.639630149661182,4.681560196208586
original_glrlm_RunLengthNonUniformity,19789.5542811633,38018.48580240911
original_glrlm_RunLengthNonUniformityNormalized,0.6763456312605681,0.7323237440678714
original_glrlm_RunPercentage,0.7892709703194446,0.8372289867483887
original_glrlm_RunVariance,0.4351702271789754,0.27248270807618497
original_glrlm_ShortRunEmphasis,0.8485306627878242,0.8792811392639895
