,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,480e410716cd762db97c2e7979b49e5b0a8bce54,220c97793a3984c73cdcfac9e5e3c316ed996378
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 293)","(512, 512, 285)"
original_gldm_LargeDependenceLowGrayLevelEmphasis,1.1659307989364684,2.146515610284794
original_gldm_LowGrayLevelEmphasis,0.01793066835798288,0.0260501446957892
original_gldm_SmallDependenceEmphasis,0.17590932941389364,0.15958546596679524
original_gldm_SmallDependenceHighGrayLevelEmphasis,129.63397288124284,93.19938602297346
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0017319092058658513,0.0020931754639152557
original_glrlm_GrayLevelNonUniformity,286.8101920356618,664.9128914513426
original_glrlm_GrayLevelNonUniformityNormalized,0.0413942768874402,0.0822998354590932
original_glrlm_GrayLevelVariance,266.1153568054847,246.6813499119169
original_glrlm_HighGrayLevelRunEmphasis,649.8547567285382,485.3194802235544
original_glrlm_LongRunEmphasis,1.9129455714108596,2.1818217999886556
original_glrlm_LongRunHighGrayLevelEmphasis,1247.488723549892,1068.820296462505
original_glrlm_LongRunLowGrayLevelEmphasis,0.03681675757221388,0.06097569664605028
original_glrlm_LowGrayLevelRunEmphasis,0.016976602590851465,0.024563606998825087
original_glrlm_RunEntropy,5.878853277251476,5.278177254594997
original_glrlm_RunLengthNonUniformity,4918.466466434056,5379.223276866754
original_glrlm_RunLengthNonUniformityNormalized,0.708424056321332,0.6644622424134675
original_glrlm_RunPercentage,0.8116368494214069,0.7758273487821131
original_glrlm_RunVariance,0.3798020541441475,0.5020446429773767
original_glrlm_ShortRunEmphasis,0.8661934495115106,0.8413012945407325
original_glrlm_ShortRunHighGrayLevelEmphasis,569.6506573161344,416.73956353190295
original_glrlm_ShortRunLowGrayLevelEmphasis,0.014010536272622746,0.019583371946590957
original_glszm_GrayLevelNonUniformity,37.06128830519074,50.75358166189112
original_glszm_GrayLevelNonUniformityNormalized,0.02317779131031316,0.02908514708417829
original_glszm_GrayLevelVariance,172.34237705632938,184.11970476432873
original_glszm_HighGrayLevelZoneEmphasis,755.7204502814259,611.293982808023
original_glszm_LargeAreaEmphasis,1404.405253283302,4807.222922636103
original_glszm_LargeAreaHighGrayLevelEmphasis,358297.1469668543,727009.5255014327
original_glszm_LargeAreaLowGrayLevelEmphasis,31.981849754370117,168.07364302266586
original_glszm_LowGrayLevelZoneEmphasis,0.010092691495801914,0.012216379651779293
original_glszm_SizeZoneNonUniformity,637.9881175734835,746.9816618911175
original_glszm_SizeZoneNonUniformityNormalized,0.3989919434480822,0.4280697202814427
original_glszm_SmallAreaEmphasis,0.6563134129668775,0.6800362067963873
original_glszm_SmallAreaHighGrayLevelEmphasis,483.891983250773,397.49207043438946
original_glszm_SmallAreaLowGrayLevelEmphasis,0.005260956030781492,0.006950342947063466
original_glszm_ZoneEntropy,7.297860648239764,7.030703954019662
original_glszm_ZonePercentage,0.1876320112649613,0.16794995187680462
original_glszm_ZoneVariance,1376.000819774398,4771.770964113595
original_ngtdm_Busyness,0.47850457463848767,1.0848233987794678
original_ngtdm_Coarseness,0.002284204754756678,0.0010243676497384258
original_ngtdm_Complexity,1926.8552189703425,2041.5735301876234
original_ngtdm_Contrast,0.2869391898563317,0.268609273618003
original_ngtdm_Strength,5.088505236331057,4.406204658064787
