diagnostics_Image-original_Hash,cae5dc6ef645f4eda288ee95007d7e6b336064b0,69064a8413ef1e96d0ab8c2a0eafb27816cb4adb,28a5ab25d3750a3ec943781760a4f5f2c37d1b10,d17543f9438613a266a44185e7814bfb323e862b,bc97507ebcf8c07c934a06abc7c1f3d532ce6de4
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 237)","(512, 512, 273)","(512, 512, 249)","(512, 512, 273)","(512, 512, 273)"
original_shape_SurfaceVolumeRatio,0.36665879188443107,0.3552972346793743,0.3318882613149003,0.27743987924829844,0.2977056227550102
original_shape_VoxelVolume,7105.0,8147.0,10051.0,17829.0,13718.0
original_firstorder_10Percentile,-840.0,-856.0,-865.0,-876.0,-863.0
original_firstorder_90Percentile,-526.0,-590.5999999999995,-648.0,-679.7999999999993,-665.0
original_firstorder_Energy,4026549422.0,4945244730.0,6344044657.0,11613131532.0,8628656261.0
original_firstorder_Entropy,3.6952385487139097,3.4585916509899852,3.3454071772672784,3.287711190742172,3.318796062341913
original_firstorder_InterquartileRange,84.0,69.0,60.0,58.0,59.0
original_firstorder_Kurtosis,11.170438774498557,14.244040804469101,16.44611627243402,17.30385980643235,16.899350989384317
original_firstorder_Maximum,295.0,321.0,302.0,212.0,186.0
original_firstorder_MeanAbsoluteDeviation,118.6673921537845,107.33964989006395,97.84737124319341,89.82498133587782,88.38790506441995
original_firstorder_Mean,-728.8360309641098,-757.8352767890021,-775.4781613769774,-790.6755286331259,-777.3533313894154
original_firstorder_Median,-796.0,-820.0,-830.0,-840.0,-825.0
original_firstorder_Minimum,-956.0,-917.0,-935.0,-952.0,-932.0
original_firstorder_Range,1251.0,1238.0,1237.0,1164.0,1118.0
