diagnostics_Image-original_Hash,cae5dc6ef645f4eda288ee95007d7e6b336064b0,69064a8413ef1e96d0ab8c2a0eafb27816cb4adb,28a5ab25d3750a3ec943781760a4f5f2c37d1b10,d17543f9438613a266a44185e7814bfb323e862b,bc97507ebcf8c07c934a06abc7c1f3d532ce6de4
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 237)","(512, 512, 273)","(512, 512, 249)","(512, 512, 273)","(512, 512, 273)"
original_shape_SurfaceVolumeRatio,0.36878000025474245,0.33552117608755755,0.3159646304512056,0.2639821970772128,0.2896759566051755
original_shape_VoxelVolume,7094.0,8807.0,10907.0,20335.0,14313.0
original_firstorder_10Percentile,-841.0,-881.0,-887.0,-903.0,-888.0
original_firstorder_90Percentile,-14.0,-571.5999999999995,-634.6000000000004,-708.0,-632.0
original_firstorder_Energy,3183518139.0,5563431453.0,7170956423.0,14161623704.0,9386386266.0
original_firstorder_Entropy,4.591993105958299,3.618490334379798,3.4552393111167774,3.3035522035822686,3.4865450343067863
original_firstorder_InterquartileRange,347.0,87.0,73.0,62.0,71.0
original_firstorder_Kurtosis,3.0496376304492663,10.747431147314778,12.862969198947846,16.363685268267723,12.764721226983836
original_firstorder_Maximum,163.0,269.0,208.0,140.0,401.0
original_firstorder_MeanAbsoluteDeviation,240.99926143822904,112.0221108581978,96.74447244361549,80.24597366135912,101.48692354899703
original_firstorder_Mean,-601.6643642514802,-775.5141364823436,-795.5352525900797,-823.1764937300221,-792.4952141409907
original_firstorder_Median,-746.0,-841.0,-851.0,-867.0,-850.0
original_firstorder_Minimum,-941.0,-947.0,-949.0,-985.0,-970.0
original_firstorder_Range,1104.0,1216.0,1157.0,1125.0,1371.0
original_firstorder_RobustMeanAbsoluteDeviation,169.20129787096036,47.45157797496521,38.51236037276741,30.677500519938956,37.94882714522665
original_firstorder_RootMeanSquared,669.897060773298,794.7991108116975,810.8413445190617,834.5155562491536,809.8113800015693
original_firstorder_Skewness,1.2078474203109235,2.7336304602169026,3.024314596960053,3.417488201000577,3.0433933948698115
original_firstorder_TotalEnergy,3183518139.0,5563431453.0,7170956423.0,14161623704.0,9386386266.0
original_firstorder_Uniformity,0.06352282996014136,0.13987447844016954,0.1541774090790463,0.16470698780429047,0.1511772397345258
original_firstorder_Variance,86762.06482256592,30283.450663109787,24587.347867917764,18796.673792181115,27745.8067436714
original_glcm_Autocorrelation,347.32061848376424,86.79322466460832,68.0198268008077,75.04235676199316,88.15659103266677
original_glcm_ClusterProminence,834403.1261157634,252806.1859906949,185441.3247448114,140164.90815044226,255480.80379570622
original_glcm_ClusterShade,13999.21645640929,5095.2301297455515,3899.9642258406598,2983.598766026414,4987.283721663753
original_glcm_ClusterTendency,536.1800045770865,154.48235211845434,120.60219092403189,93.24872816842827,138.46807248213327
original_glcm_Contrast,49.02701930980167,27.569362951506385,21.856629817977257,19.348799631583482,20.563789324339208
original_glcm_Correlation,0.8329840984772995,0.6950205858203009,0.6900802705476518,0.6531117314302298,0.7368959972173273
original_glcm_DifferenceAverage,4.306400390141495,2.889159278423111,2.536504187752048,2.348467833933317,2.522200405329568
original_glcm_DifferenceEntropy,3.5863476566201795,3.0438634055672154,2.8843865057422042,2.7745253996540793,2.878557342524763
original_glcm_DifferenceVariance,29.79788593955737,18.884311610659378,15.140869793262253,13.592878761201998,13.949387729041856
original_glcm_Id,0.41112356131427685,0.4999135020159666,0.5187483744318497,0.5232156639026264,0.5008145315552919
original_glcm_Idm,0.348170359445857,0.44892032485889344,0.4700687428428847,0.47538722254997157,0.44875088533399266
original_glcm_Idmn,0.9788595321793838,0.9896610808414406,0.9910638677892428,0.9917990319669875,0.9938916933165243
