,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,07f7016659606467e03afcbb1d7b8198a089629c,b6d3694d627b99b722336c332828e663b875ae77
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 246)","(512, 512, 220)"
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.5827871581442295,0.7354876970948897
original_gldm_LowGrayLevelEmphasis,0.016069750496610347,0.028771354735067617
original_gldm_SmallDependenceEmphasis,0.3056134768573571,0.4134527343048483
original_gldm_SmallDependenceHighGrayLevelEmphasis,276.3887746005435,532.3969793237383
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0023072922124578684,0.007178166859217808
original_glrlm_GrayLevelNonUniformity,382.32712951790484,506.36967391908905
original_glrlm_GrayLevelNonUniformityNormalized,0.028755102513847594,0.026025556953775696
original_glrlm_GrayLevelVariance,267.79839270137023,436.96447522641364
original_glrlm_HighGrayLevelRunEmphasis,834.6376755102463,1135.8706204845996
original_glrlm_LongRunEmphasis,1.4900368893896085,1.1910439910147887
original_glrlm_LongRunHighGrayLevelEmphasis,1223.8062547504348,1311.9465123847006
original_glrlm_LongRunLowGrayLevelEmphasis,0.02586079505588251,0.039568117743116776
original_glrlm_LowGrayLevelRunEmphasis,0.015278764730919058,0.026780892298651684
original_glrlm_RunEntropy,6.0558349649620755,5.949646744018204
original_glrlm_RunLengthNonUniformity,10658.142667100494,17393.56496531606
original_glrlm_RunLengthNonUniformityNormalized,0.8006343242484711,0.893831095452787
original_glrlm_RunPercentage,0.8796250089113852,0.9430459033018166
original_glrlm_RunVariance,0.19222568512314686,0.06635695499161964
original_glrlm_ShortRunEmphasis,0.9140413266088777,0.9573680388544277
original_glrlm_ShortRunHighGrayLevelEmphasis,767.019411966976,1095.5084813197975
original_glrlm_ShortRunLowGrayLevelEmphasis,0.013394121100043241,0.02438165153156245
original_glszm_GrayLevelNonUniformity,109.94519212014823,184.93969217882943
original_glszm_GrayLevelNonUniformityNormalized,0.021444351886122145,0.019363385213991148
original_glszm_GrayLevelVariance,201.7078389138241,432.23625377940914
original_glszm_HighGrayLevelZoneEmphasis,906.4876145894285,1288.9154015286358
original_glszm_LargeAreaEmphasis,193.64423639555295,33.64066589885876
original_glszm_LargeAreaHighGrayLevelEmphasis,100502.22118197776,19739.272851010366
original_glszm_LargeAreaLowGrayLevelEmphasis,3.261146574716243,5.770867382361867
