diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,1348f74b8e6c1877300ff3ca765d188edfd05384,f3a3ffb2ab357057631631874d725dad29fd9656,981284f63f3e317db0ec2328a720e4d15462ca41,989462452afcf51c5c07f9989746ed8ce5584f2a,2c51d16437aa7d96caad7299b3f57f2e672e2273,5505170171966130350d35cc69f63ac6bdb15ef4,bd34a650df37a886803c110fcf8b82594f2be638
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 257)","(512, 512, 269)","(512, 512, 261)","(512, 512, 273)","(512, 512, 269)","(512, 512, 257)","(512, 512, 257)"
diagnostics_Mask-original_BoundingBox,"(259, 216, 96, 53, 34, 26)","(278, 219, 103, 35, 33, 26)","(271, 223, 99, 56, 38, 26)","(254, 214, 109, 62, 40, 26)","(245, 225, 100, 55, 35, 27)","(258, 230, 101, 46, 30, 26)","(256, 222, 97, 48, 32, 29)"
diagnostics_Mask-original_VoxelNum,11748,6596,13604,16971,13115,9291,11493
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(287.07541709227104, 231.59473953013278, 109.12955396663261)","(299.0568526379624, 232.6972407519709, 115.85430563978169)","(301.0826962658042, 241.8285063216701, 112.20993825345487)","(287.6874079311767, 233.8024276707324, 121.73006894113487)","(274.1777354174609, 242.58185284025924, 113.47670606176135)","(283.343881175331, 243.7127327521257, 113.63975890646863)","(280.6175933176716, 237.3726616201166, 111.34847298355521)"
diagnostics_Mask-original_CenterOfMass,"(287.07541709227104, 231.59473953013278, 109.12955396663261)","(299.0568526379624, 232.6972407519709, 115.85430563978169)","(301.0826962658042, 241.8285063216701, 112.20993825345487)","(287.6874079311767, 233.8024276707324, 121.73006894113487)","(274.1777354174609, 242.58185284025924, 113.47670606176135)","(283.343881175331, 243.7127327521257, 113.63975890646863)","(280.6175933176716, 237.3726616201166, 111.34847298355521)"
original_shape_Elongation,0.6632064313164497,0.7592063584941722,0.683757296459597,0.6483180847133532,0.5895267299781486,0.6448028366533102,0.6991364491488641
original_shape_Flatness,0.47635501895003757,0.5254997485354626,0.4376118405267162,0.383529990033768,0.425472067996349,0.4505609420503818,0.5094022026317118
original_shape_LeastAxisLength,19.61943414053112,16.675536730671602,19.14438470639146,19.125724251908203,19.455696083511395,17.544629294070912,19.75992953303199
original_shape_MajorAxisLength,41.186580092670134,31.73272066665181,43.7474102239761,49.86761074466243,45.72731689563778,38.939525503986246,38.79042813507041
original_shape_Maximum2DDiameterColumn,49.9799959983992,39.66106403010388,52.88667128870941,60.876925020897694,53.150729063673246,47.12748667179272,46.61544808322666
original_shape_Maximum2DDiameterRow,34.713109915419565,32.55764119219941,38.07886552931954,41.0,35.4400902933387,31.38470965295043,34.17601498127012
original_shape_Maximum2DDiameterSlice,44.721359549995796,34.48187929913333,45.880278987817846,52.773099207835045,44.10215414239989,41.0,40.496913462633174
original_shape_Maximum3DDiameter,59.61543424315552,43.64630568559039,60.03332407921454,67.03730304837748,58.22370651203855,49.889878733065686,51.70106381884226
original_shape_MeshVolume,11679.291666666666,6550.166666666667,13497.291666666666,16875.833333333332,13054.875,9212.041666666666,11433.333333333334
original_shape_MinorAxisLength,27.31520480138889,24.09168330244148,29.912610941854833,32.33007388721058,26.957475600159885,25.108316502904252,27.11980218731732
original_shape_Sphericity,0.5451109073851383,0.5586690026655236,0.5388631945800881,0.5308270173474793,0.5365164860025763,0.5488163554850732,0.5514812485990769
original_shape_SurfaceArea,4566.781732425362,3030.384826048288,5087.4875358744475,5993.878344441822,4997.462357886283,3872.2287766324494,4450.429761073789
original_shape_SurfaceVolumeRatio,0.3910152997941823,0.46264239984452626,0.37692654656331287,0.35517525126315674,0.3828043055093429,0.4203442533965,0.38925041642044805
original_shape_VoxelVolume,11748.0,6596.0,13604.0,16971.0,13115.0,9291.0,11493.0
original_firstorder_10Percentile,-907.0,-877.0,-904.0,-883.0,-896.0,-884.0,-873.0
original_firstorder_90Percentile,58.0,20.5,31.0,-95.0,-86.0,-8.0,-22.19999999999891
original_firstorder_Energy,5467246935.0,2798479685.0,7028557291.0,8569198231.0,7269673102.0,4779641357.0,5786300361.0
original_firstorder_Entropy,5.257464989703549,5.137845273840567,4.867518757256139,4.878089889701869,4.552858214737843,4.719241870354946,4.739916012571606
original_firstorder_InterquartileRange,501.0,506.0,326.0,259.0,192.0,265.0,241.0
original_firstorder_Kurtosis,2.687020578908402,2.251006541736154,3.2540183189274816,4.40094110681743,4.620241532976695,3.711944394379336,4.016890347955292
original_firstorder_Maximum,621.0,195.0,366.0,419.0,267.0,255.0,338.0
original_firstorder_MeanAbsoluteDeviation,307.8863946328812,286.97211414308833,272.84197998003077,233.09513335113172,221.66561152559785,251.162315660701,241.93354398365
original_firstorder_Mean,-574.4754000680967,-558.5177380230442,-633.1982505145545,-641.4664427552884,-682.199313762867,-641.3792917877516,-636.1765422431044
original_firstorder_Median,-744.0,-712.0,-794.0,-770.0,-809.0,-789.0,-775.0
original_firstorder_Minimum,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1001.0,-1024.0
original_firstorder_Range,1645.0,1219.0,1390.0,1443.0,1291.0,1256.0,1362.0
original_firstorder_RobustMeanAbsoluteDeviation,227.02595583643244,223.15193148897313,183.60655363620924,139.2285960401797,120.46995958163983,158.1575402561952,145.58820912065283
original_firstorder_RootMeanSquared,682.1853300723225,651.3595062154034,718.7862868638184,710.5855602875613,744.5147284383357,717.2431762430252,709.5512729006745
original_firstorder_Skewness,1.0181935186117501,0.8373780856647263,1.298978450597314,1.5610503037574377,1.702916870713339,1.4477718209217212,1.5235341539890241
original_firstorder_TotalEnergy,5467246935.0,2798479685.0,7028557291.0,8569198231.0,7269673102.0,4779641357.0,5786300361.0
original_firstorder_Uniformity,0.036042428972327636,0.03664711619332296,0.05145283903475127,0.051708943012419274,0.06723597769751118,0.05976170967164469,0.05879463179419212
original_firstorder_Variance,135354.8392824838,112327.14265079613,115713.70172878288,93452.6413080637,88906.27716308228,103070.3779330255,98742.41597457485
original_glcm_Autocorrelation,532.8518824465561,522.8847811673991,419.6576986504849,373.420578492424,315.15265568349827,387.8633042761088,384.36966059025565
original_glcm_ClusterProminence,1664361.3960413428,974648.1230507706,1543621.9247210484,1261915.9146349733,1246333.0595561748,1379762.9928718968,1349086.5808619303
original_glcm_ClusterShade,21849.689494470054,13724.271022560632,23177.34980935427,19058.305437354822,19774.674036392993,21551.936006617856,21039.650409527178
original_glcm_ClusterTendency,789.1006020561047,645.4956223301252,674.823320685038,528.6877657429457,501.4536998070411,594.2022822135793,560.9334018312516
original_glcm_Contrast,62.047022490240515,54.88619624352836,44.39303474469365,38.80259884789269,39.194802654523045,34.88083756914365,37.70340489952765
original_glcm_Correlation,0.8538996467581766,0.8428394896274967,0.8761750665896185,0.8624928548669197,0.8543227889626598,0.8886054376724244,0.8733517236521939
original_glcm_DifferenceAverage,5.018559151381766,4.871458468991955,4.028959811582978,3.8517172969359086,3.753027853736517,3.656824162881588,3.8087063381465764
original_glcm_DifferenceEntropy,3.8157725258462607,3.783134528893461,3.499162781628619,3.4527484129027024,3.404231013446924,3.388210343074658,3.444394571774961
original_glcm_DifferenceVariance,35.78422396780897,30.314040367476956,27.44668122615999,23.208308259552965,24.58100318568322,21.005699425949505,22.735486727122932
original_glcm_Id,0.358408616048185,0.3532576775833745,0.40677769365170013,0.4029808644041367,0.41536163483239064,0.4100405845119201,0.3958580565511717
original_glcm_Idm,0.285808196265138,0.2790723747156995,0.33990997827161756,0.33350351557459806,0.3485933049385394,0.3414606482337821,0.3238822447668266
original_glcm_Idmn,0.9869191239755518,0.9796180291628835,0.9871823333315484,0.989367526252181,0.9869700708424685,0.9882000562282631,0.9886233337825404
original_glcm_Idn,0.9352357923763592,0.9180022819656244,0.9390659933746218,0.9427815105635988,0.9390101316486861,0.9398484005466905,0.9405736287407629
original_glcm_Imc1,-0.20792691031989052,-0.20368272961658412,-0.21396454919751703,-0.20464469041201339,-0.18582555152725933,-0.21779570795502262,-0.1942940867076362
original_glcm_Imc2,0.9348786383818731,0.9305448700849517,0.9270091665164814,0.9176064331457616,0.89304916004025,0.9273908008800746,0.9093302473184562
original_glcm_InverseVariance,0.2690983074604343,0.2683903010793485,0.3150852305487665,0.3123970706365587,0.3269615778842346,0.3240646107762183,0.31363670112731745
original_glcm_JointAverage,18.737225862945586,19.37086278320404,16.187896532262418,15.841306633114495,14.127436185549278,15.748818386124471,15.923376887941542
original_glcm_JointEnergy,0.0034597806327516735,0.003335481612914552,0.006706947916146206,0.006578679075463897,0.009488964076059422,0.008443412549098112,0.007476791281139308
original_glcm_JointEntropy,9.46553639474847,9.27845746069639,8.710145721811953,8.754314173878138,8.255162486261515,8.403053475716947,8.535883968608013
original_glcm_MCC,0.8664035164864425,0.8708572273650451,0.8915199050476558,0.8718438795408308,0.8834102332385686,0.9032059272025772,0.8895247414196389
original_glcm_MaximumProbability,0.012759167105505167,0.012750868839683755,0.02604546800761059,0.022423409239389926,0.0357919743745545,0.03191852659862248,0.025581363467966696
original_glcm_SumAverage,37.4744517258912,38.74172556640808,32.37579306452484,31.68261326622902,28.254872371098593,31.49763677224893,31.846753775883094
original_glcm_SumEntropy,6.253775082001311,6.1460702530694045,5.848248268982044,5.826406094811737,5.500209207558878,5.66992567701779,5.653787860237606
original_glcm_SumSquares,212.78690613658637,175.0954546434133,179.8040888574327,141.8725911477096,135.16212561539106,157.27077994568072,149.6592016826948
original_gldm_DependenceEntropy,8.112491143108317,7.858262220903612,7.935155093683358,7.972242064491232,7.603671091384418,7.672372112575113,7.696571544231855
original_gldm_DependenceNonUniformity,1566.132277834525,926.0339599757428,1452.4320788003529,1876.1170820811974,1385.8957682043463,1029.4570013992036,1369.8676585747846
original_gldm_DependenceNonUniformityNormalized,0.13331054458925137,0.14039326257970633,0.10676507488976425,0.11054841094108758,0.1056725709648758,0.11080152851137698,0.11919147816712648
original_gldm_DependenceVariance,9.007326133446574,7.321854287343966,10.85307041679026,10.267477487384063,10.327872317510328,9.520472701722506,8.306786552759569
original_gldm_GrayLevelNonUniformity,423.426455566905,241.72437841115828,699.9644222287562,877.5524718637676,881.7998475028593,555.2460445592509,675.7267032106499
original_gldm_GrayLevelVariance,216.69231290855555,179.7750433859064,185.23810197715858,149.50680994247796,142.4775000933849,164.9754858980805,158.08979893556509
original_gldm_HighGrayLevelEmphasis,560.5346441947565,547.6167374166162,447.28337253748896,401.04442873136526,345.025848265345,416.7190829835325,416.4059862525015
original_gldm_LargeDependenceEmphasis,25.187606401089546,21.69648271679806,33.39253160835049,31.794649696541157,33.17430423179565,30.603702507803252,27.013747498477333
original_gldm_LargeDependenceHighGrayLevelEmphasis,13491.096271705823,15648.393268647666,13015.353351955308,7601.786989570443,7483.261303850552,8595.843827359811,7262.6071521795875
original_gldm_LargeDependenceLowGrayLevelEmphasis,1.048210658979155,0.2787413934559593,0.7917998059084902,0.5443865659696853,0.6294769062289158,0.522563611614074,0.37541898380668937
original_gldm_LowGrayLevelEmphasis,0.01980632639555971,0.011650570474553465,0.01857076989723185,0.013773217380801821,0.015821483721808843,0.013249375427234195,0.012022980209632269
original_gldm_SmallDependenceEmphasis,0.280070970645298,0.28442768439326177,0.22316580277890696,0.21784358180550217,0.21265039527257895,0.2191384793739636,0.22808443853869875
original_gldm_SmallDependenceHighGrayLevelEmphasis,195.3511454874011,158.43174415663142,127.8837790427297,134.72744490450071,106.69592529116275,122.2631133940989,127.27816082800925
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0029518110831975634,0.0021344588027451218,0.002502582683458285,0.0019034984053261008,0.0022013142857206696,0.00202292105427349,0.0023886566560822396
original_glrlm_GrayLevelNonUniformity,355.3032598082552,208.16232237995393,550.46095904079,691.1656272455597,682.1341456192866,433.2227078169002,541.897608868915
original_glrlm_GrayLevelNonUniformityNormalized,0.034205557975391536,0.03534722819648361,0.04724035566900517,0.047301870441183363,0.060815461312432505,0.05408351761907072,0.054048064973575456
original_glrlm_GrayLevelVariance,212.23881377530162,171.78499449585084,182.57508539240797,153.03081966304782,145.19693488749132,166.05026695629945,160.54409443668933
original_glrlm_HighGrayLevelRunEmphasis,567.9627617433218,538.4009764088595,457.00663349757,422.8104631311175,361.853120176828,433.3521221606254,432.9467161758984
original_glrlm_LongRunEmphasis,1.4668381992304123,1.4134784608493582,1.612138874186683,1.5920926684155878,1.6106580328035731,1.5643480399512342,1.51003138021971
original_glrlm_LongRunHighGrayLevelEmphasis,809.2443577598673,807.1096596192248,701.740414110738,578.6755453487509,510.3264083201185,608.3404917161731,585.059549984401
original_glrlm_LongRunLowGrayLevelEmphasis,0.03386892112214856,0.01695211626631011,0.031714564076087304,0.023239048644339615,0.026689274681271642,0.021984734060233355,0.018677954217885293
original_glrlm_LowGrayLevelRunEmphasis,0.018114344082235008,0.011395347249492295,0.017810259194546072,0.013266231940837118,0.01534991539582084,0.012765860198229506,0.011810048231308799
original_glrlm_RunEntropy,5.841957043955516,5.669390569313701,5.595185308988155,5.602248494776348,5.311963892748172,5.435445511980144,5.417475165431304
original_glrlm_RunLengthNonUniformity,8366.193386724484,4805.728811096837,8901.077608046491,11253.051605994206,8528.500892409931,6165.912626516745,7860.560888665282
original_glrlm_RunLengthNonUniformityNormalized,0.8040494290975886,0.814895581841524,0.7621442609731279,0.7682311812236964,0.7592496904157398,0.7686853406355844,0.7830964504482437
original_glrlm_RunPercentage,0.8837510803802938,0.8926388953678221,0.8558625291203944,0.8600100624141634,0.8546233027361507,0.861859698798672,0.8721094445448401
original_glrlm_RunVariance,0.17999550701618866,0.15428778042965144,0.23720869828050228,0.2288011794000519,0.23492628566183318,0.21332303904174788,0.1913428559124711
original_glrlm_ShortRunEmphasis,0.915744163872535,0.921141532001292,0.8948076271871451,0.8977388570242747,0.8935904616460963,0.8984966410678049,0.9057942826902544
original_glrlm_ShortRunHighGrayLevelEmphasis,526.3353494986038,491.4619648026946,416.6904946844816,394.4301397237322,334.9959382656919,401.1052092092061,403.4006188988667
original_glrlm_ShortRunLowGrayLevelEmphasis,0.015513459375290603,0.010286615707891513,0.015363866676295908,0.011547107551709207,0.013378214462319236,0.011128241664732464,0.010543069185828525
original_glszm_GrayLevelNonUniformity,84.22264561785519,56.307729236677865,85.1013431013431,101.48299826259618,87.85255767301906,60.81403828623519,76.66407904022583
original_glszm_GrayLevelNonUniformityNormalized,0.02292396451220882,0.027032035159230854,0.02597721095889594,0.025188135582674652,0.029372302799404566,0.027718340148694252,0.027051545180037342
original_glszm_GrayLevelVariance,178.03216477422745,118.9886706020827,145.62755316349637,158.531488234253,136.06318409144743,140.05686533007477,151.5566245195825
original_glszm_HighGrayLevelZoneEmphasis,710.330157866086,563.2611617858857,588.8482905982906,645.5284189625218,522.7489134068874,571.4425706472197,580.7364149611856
original_glszm_LargeAreaEmphasis,152.9618943930321,98.91118578972636,777.040293040293,902.0796723752792,1556.4697425610163,1249.8281677301732,882.7836979534227
original_glszm_LargeAreaHighGrayLevelEmphasis,50414.335601524224,60737.4805568891,127216.05525030525,95001.39811367585,132850.24339685723,118081.65679124885,94595.43472124205
original_glszm_LargeAreaLowGrayLevelEmphasis,3.2366362915644693,1.1071284100603815,13.232976946762397,12.369350728727412,25.915934884826807,19.406785800891292,11.201677449032276
original_glszm_LowGrayLevelZoneEmphasis,0.010894564305855033,0.007553621129083259,0.011543927403294532,0.00909327057788646,0.010487244975912633,0.00907378626114302,0.010566381189414414
original_glszm_SizeZoneNonUniformity,1609.9700598802394,915.624099855977,1420.7411477411476,1612.5269297592454,1251.2821798729522,912.1485870556062,1162.4318983768526
original_glszm_SizeZoneNonUniformityNormalized,0.43820633094181805,0.43956989911472727,0.4336816690296544,0.40023006447238657,0.4183491072794892,0.4157468491593465,0.4101735703517475
original_glszm_SmallAreaEmphasis,0.6883057767942181,0.689440708067601,0.6847590590422548,0.6574758172443872,0.6723406393178298,0.670493577821856,0.6656776561133594
original_glszm_SmallAreaHighGrayLevelEmphasis,510.52261083147096,394.9264978805119,421.4451930908824,451.05237135517393,366.6407428081373,397.3366633859549,394.3689671469424
original_glszm_SmallAreaLowGrayLevelEmphasis,0.006107543671192414,0.004334463445919556,0.0063579578148540965,0.004923940434650046,0.005766701476053781,0.005660847592755401,0.006867653705488336
original_glszm_ZoneEntropy,7.327308474215421,7.045084773719058,7.182883353523165,7.425156521934325,7.105877717930052,7.141010431697413,7.244725021675356
original_glszm_ZonePercentage,0.31273408239700373,0.3157974530018193,0.24081152602175832,0.23740498497436804,0.22805947388486467,0.23614250349800883,0.24658487775167492
original_glszm_ZoneVariance,142.73721799732056,88.88391475329284,759.795997382078,884.3369469336883,1537.243086218423,1231.8952203697993,866.3374390964841
original_ngtdm_Busyness,0.9650787387095286,0.8774649492323424,1.4266282689363405,2.0379555799675693,1.9356904825067844,1.1290436848079004,1.4514850439187104
original_ngtdm_Coarseness,0.0011228114907900746,0.0017852330528668088,0.0008868697402230441,0.0007552943537001943,0.0007762003909346322,0.0013072432068037669,0.0009960868324425652
original_ngtdm_Complexity,5289.647091026129,2669.127954741217,3289.4511827686542,3323.6112557301153,2787.7223992846943,2422.276471020562,2888.296960189103
original_ngtdm_Contrast,0.2744969715302689,0.41688494899735357,0.26502328628316235,0.18908935186830692,0.22788416357882832,0.23925493871243875,0.23292918048068278
original_ngtdm_Strength,3.2721926459836896,2.253675695365961,2.2347803335905327,2.013339484430684,1.9376636280727801,2.92962021046126,2.375622135357836
