,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.1.1.2,2.1.1.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.8,3.6.8
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,251793129652d383e22d1e030d974b641ac3fbbf,a4705d82f491e80a07c1f51195ecb0baad5d808c
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 124)","(512, 512, 110)"
original_gldm_LargeDependenceLowGrayLevelEmphasis,1.3205756743935215,1.4083218352777374
original_gldm_LowGrayLevelEmphasis,0.029345362458311958,0.02712557328415242
original_gldm_SmallDependenceEmphasis,0.2896684652501465,0.27962705469254545
original_gldm_SmallDependenceHighGrayLevelEmphasis,188.95801569192506,183.5342401399052
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.00408011416649633,0.003490094479191455
original_glrlm_GrayLevelNonUniformity,210.01144141132602,246.0975857919536
original_glrlm_GrayLevelNonUniformityNormalized,0.07232433936089311,0.0734753867325985
original_glrlm_GrayLevelVariance,213.8151006510736,204.77679760246923
original_glrlm_HighGrayLevelRunEmphasis,436.60235372483635,430.40228921756324
original_glrlm_LongRunEmphasis,1.5493692480592571,1.6408435057587263
original_glrlm_LongRunHighGrayLevelEmphasis,546.9718538479156,554.0495043465797
original_glrlm_LongRunLowGrayLevelEmphasis,0.05058939592334895,0.0499758790863197
original_glrlm_LowGrayLevelRunEmphasis,0.027492695221635242,0.02530965140843109
original_glrlm_RunEntropy,5.20983188140928,5.235441549129849
original_glrlm_RunLengthNonUniformity,2286.8404258775768,2594.595474495237
original_glrlm_RunLengthNonUniformityNormalized,0.7863547905428351,0.7737967357546933
original_glrlm_RunPercentage,0.8699771241074938,0.8579227406689479
original_glrlm_RunVariance,0.2157439552831545,0.26530115954566363
original_glrlm_ShortRunEmphasis,0.9064313122932692,0.899962468919694
original_glrlm_ShortRunHighGrayLevelEmphasis,414.42917250985244,407.76397480841194
original_glrlm_ShortRunLowGrayLevelEmphasis,0.02367710153177032,0.02160489378226425
original_glszm_GrayLevelNonUniformity,28.32330827067669,30.762938230383973
original_glszm_GrayLevelNonUniformityNormalized,0.026619650630335237,0.025678579491138543
original_glszm_GrayLevelVariance,196.8285436924077,190.23115041485394
original_glszm_HighGrayLevelZoneEmphasis,668.297932330827,672.9098497495827
original_glszm_LargeAreaEmphasis,400.16823308270676,548.3931552587646
original_glszm_LargeAreaHighGrayLevelEmphasis,18797.726503759397,33143.22287145242
original_glszm_LargeAreaLowGrayLevelEmphasis,17.78697827111084,22.08286355008889
original_glszm_LowGrayLevelZoneEmphasis,0.013325923128672187,0.01164618857063943
original_glszm_SizeZoneNonUniformity,529.6353383458646,593.6460767946578
original_glszm_SizeZoneNonUniformityNormalized,0.49777757363333147,0.4955309489103988
original_glszm_SmallAreaEmphasis,0.7329496216429204,0.7316155800818427
original_glszm_SmallAreaHighGrayLevelEmphasis,514.8849558929918,519.6086443324875
original_glszm_SmallAreaLowGrayLevelEmphasis,0.008211106833193848,0.007036914005054497
original_glszm_ZoneEntropy,6.791716118087692,6.853978882270768
original_glszm_ZonePercentage,0.31961550015019524,0.30804834147595783
original_glszm_ZoneVariance,390.3790977090282,537.8550568420936
original_ngtdm_Busyness,0.8759044745850001,0.9546665500618768
original_ngtdm_Coarseness,0.0020341937018353066,0.001934667072844929
original_ngtdm_Complexity,4424.091637367967,3741.395946153308
original_ngtdm_Contrast,0.4627012194583487,0.41622912431877684
original_ngtdm_Strength,6.449527682104548,5.670882742236911
