,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,8dd960e5ad284a3aa44975050f38a7304966aa70,b923c348793b9121160ab3ba5ece72e5b25cf83a
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 245)","(512, 512, 253)"
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.14095431386799476,0.36856907971760416
original_gldm_LowGrayLevelEmphasis,0.007184197189395951,0.013253283633561206
original_gldm_SmallDependenceEmphasis,0.3550273497503582,0.31376102159951574
original_gldm_SmallDependenceHighGrayLevelEmphasis,256.8596895996421,195.49251608080232
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0020160744914823427,0.002774316488254168
original_glrlm_GrayLevelNonUniformity,131.57123671799968,273.55726874233767
original_glrlm_GrayLevelNonUniformityNormalized,0.026706760651563428,0.036314025821853904
original_glrlm_GrayLevelVariance,198.64084876079184,185.34090175810906
original_glrlm_HighGrayLevelRunEmphasis,815.8952841385138,547.1254065547472
original_glrlm_LongRunEmphasis,1.3675284730061472,1.4088838096233256
original_glrlm_LongRunHighGrayLevelEmphasis,1264.439284219128,783.9073238418897
original_glrlm_LongRunLowGrayLevelEmphasis,0.009824305748868762,0.019529639221056033
original_glrlm_LowGrayLevelRunEmphasis,0.0071241987551441946,0.01287712310685529
original_glrlm_RunEntropy,5.824833521050957,5.643540543764582
original_glrlm_RunLengthNonUniformity,4131.324533207115,6176.413270152864
original_glrlm_RunLengthNonUniformityNormalized,0.8380920335166867,0.819251094391189
original_glrlm_RunPercentage,0.904446453289641,0.894053826975589
original_glrlm_RunVariance,0.14304435882641803,0.15506837440986382
original_glrlm_ShortRunEmphasis,0.9320228727538737,0.9232347375863976
original_glrlm_ShortRunHighGrayLevelEmphasis,740.6631560592369,505.4815866379314
original_glrlm_ShortRunLowGrayLevelEmphasis,0.006568677713861031,0.011608009105583274
original_glszm_GrayLevelNonUniformity,54.29032258064516,74.75536193029491
original_glszm_GrayLevelNonUniformityNormalized,0.02432362122788762,0.02505206499004521
original_glszm_GrayLevelVariance,136.96490743149494,138.6044784651295
original_glszm_HighGrayLevelZoneEmphasis,716.3893369175627,624.4493967828419
original_glszm_LargeAreaEmphasis,74.30465949820788,114.01575067024129
original_glszm_LargeAreaHighGrayLevelEmphasis,125598.09991039426,66004.16689008044
original_glszm_LargeAreaLowGrayLevelEmphasis,0.20493887130782143,1.610792881895516
original_glszm_LowGrayLevelZoneEmphasis,0.005859844783165142,0.00927707743595478
original_glszm_SizeZoneNonUniformity,1016.4991039426524,1356.083780160858
original_glszm_SizeZoneNonUniformityNormalized,0.45542074549401984,0.4544516689547111
original_glszm_SmallAreaEmphasis,0.7017117476724251,0.7011020862827628
