,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,8dd960e5ad284a3aa44975050f38a7304966aa70,b923c348793b9121160ab3ba5ece72e5b25cf83a
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 245)","(512, 512, 253)"
original_glcm_SumAverage,24.689964117411215,20.77771135100799
original_glcm_SumEntropy,5.06541973425858,4.845057227915473
original_glcm_SumSquares,76.63753218760803,63.442583286062444
original_gldm_DependenceEntropy,7.083048742274991,7.094253417082163
original_gldm_DependenceNonUniformity,589.3316195372751,796.7701040681173
original_gldm_DependenceNonUniformityNormalized,0.10821366499031859,0.09422541438837717
original_gldm_DependenceVariance,8.936600919602052,10.861204172033268
original_gldm_GrayLevelNonUniformity,481.1788468600808,852.6615421002838
original_gldm_GrayLevelVariance,76.27038375239337,62.39397036828854
original_gldm_HighGrayLevelEmphasis,227.5025706940874,169.08703878902554
original_gldm_LargeDependenceEmphasis,30.549026808666913,38.8550141911069
original_gldm_LargeDependenceHighGrayLevelEmphasis,3815.595850165259,3686.15302743614
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.45770909045933517,0.8424221190314228
original_gldm_LowGrayLevelEmphasis,0.013903057327083817,0.020780667357136285
original_gldm_SmallDependenceEmphasis,0.2160895683639317,0.1758004279799497
original_gldm_SmallDependenceHighGrayLevelEmphasis,93.56298052843104,63.454510622369234
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.002225817926301225,0.0027991470463103237
original_glrlm_GrayLevelNonUniformity,377.49443669396567,651.8685494884753
original_glrlm_GrayLevelNonUniformityNormalized,0.08059227666352388,0.09227197964060664
original_glrlm_GrayLevelVariance,81.06042306830881,67.41034772111777
original_glrlm_HighGrayLevelRunEmphasis,242.2942033471043,182.17088522605056
original_glrlm_LongRunEmphasis,1.5702655964024836,1.7109519104389268
original_glrlm_LongRunHighGrayLevelEmphasis,318.17368821088337,252.93710529239615
original_glrlm_LongRunLowGrayLevelEmphasis,0.022259212328585874,0.035965983272655724
original_glrlm_LowGrayLevelRunEmphasis,0.013714139692150178,0.020554738590971892
original_glrlm_RunEntropy,4.883537893540386,4.780628860009262
original_glrlm_RunLengthNonUniformity,3576.8942108310457,5152.38292821991
original_glrlm_RunLengthNonUniformityNormalized,0.7627513136523051,0.7279275314657428
original_glrlm_RunPercentage,0.859657052459109,0.8349647041700021
original_glrlm_RunVariance,0.21254445662356483,0.2689805387900084
original_glrlm_ShortRunEmphasis,0.8956189295598038,0.8772208923226221
original_glrlm_ShortRunHighGrayLevelEmphasis,227.34652080112423,168.83071766851643
original_glrlm_ShortRunLowGrayLevelEmphasis,0.012135340402068366,0.017828981383784834
original_glszm_GrayLevelNonUniformity,41.79020408163265,57.00521172638437
original_glszm_GrayLevelNonUniformityNormalized,0.03411445231153686,0.03713694575008753
original_glszm_GrayLevelVariance,121.55122432319867,115.20930895818523
original_glszm_HighGrayLevelZoneEmphasis,463.7861224489796,391.37524429967425
original_glszm_LargeAreaEmphasis,934.4767346938776,3039.512703583062
original_glszm_LargeAreaHighGrayLevelEmphasis,77513.66612244898,183198.8325732899
original_glszm_LargeAreaLowGrayLevelEmphasis,12.408949458529424,55.48539657943252
original_glszm_LowGrayLevelZoneEmphasis,0.010772501673445655,0.017073680219981895
original_glszm_SizeZoneNonUniformity,560.9951020408163,649.3504885993485
original_glszm_SizeZoneNonUniformityNormalized,0.4579551853394419,0.42302963426667656
original_glszm_SmallAreaEmphasis,0.7037513809745591,0.676026943303084
original_glszm_SmallAreaHighGrayLevelEmphasis,358.46940578486954,297.4649049986956
original_glszm_SmallAreaLowGrayLevelEmphasis,0.006278037507567887,0.009452370540005634
original_glszm_ZoneEntropy,6.731195621708239,6.786281434951821
original_glszm_ZonePercentage,0.2249357326478149,0.1815279091769158
original_glszm_ZoneVariance,914.7123591836735,3009.165883563752
original_ngtdm_Busyness,0.9822434939733921,1.6789558050271252
original_ngtdm_Coarseness,0.001527856330587871,0.001036247147351704
original_ngtdm_Complexity,2515.5099949371534,2138.573184149028
original_ngtdm_Contrast,0.13408396746524487,0.09519201203498479
original_ngtdm_Strength,3.8090567730042584,3.0023850815373208
