diagnostics_Image-original_Hash,83cef79e9db00927fdd629a802c8e4285ff46733,0ad74b934f63b25e0497aecc4970b967f6935edc,e867abe4fdad471c793a4e52e5ef1256e58b550d,5d7acdbd3fe96844e0885b124aa12f72abaf154f
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 174)","(512, 512, 217)","(512, 512, 209)","(512, 512, 241)"
original_firstorder_RobustMeanAbsoluteDeviation,368.68655910947683,398.166497602663,280.0818964535837,268.0679406427221
original_firstorder_RootMeanSquared,556.7482089923741,654.2796523377392,629.1762105022373,610.376455161355
original_firstorder_Skewness,0.1938884109504592,0.34236701086208043,0.7123506572734122,0.7696632101445364
original_firstorder_TotalEnergy,1433604628.0,3483302123.0,2408824553.0,2137000816.0
original_firstorder_Uniformity,0.020083143900657414,0.03373380242721542,0.0363442034881091,0.035651353656662575
original_firstorder_Variance,232823.9561209642,248823.7526983866,150119.36713691076,146072.03596349564
original_glcm_Autocorrelation,1209.8632477097772,893.7010903436577,668.4710540249955,695.53210352396
original_glcm_ClusterProminence,2949572.5472703343,3072528.939048237,1580487.6405250703,1566419.8531601464
original_glcm_ClusterShade,10220.179486714409,16004.741715173403,19468.069690928955,19593.938427924877
original_glcm_ClusterTendency,1331.03441528676,1351.915073197086,874.9383816752888,840.3095045225554
original_glcm_Contrast,142.51381919797092,233.50800506615982,60.50304674066024,61.62679548628843
original_glcm_Correlation,0.8063027481998936,0.7055025079536266,0.8702339534968583,0.8629265621090423
original_glcm_DifferenceAverage,8.207569945140643,10.11030589821593,4.998392422850797,5.152904062690164
original_glcm_DifferenceEntropy,4.47535856831475,4.801239476343081,3.8056853174117418,3.8577276734186743
original_glcm_DifferenceVariance,72.13629637619975,128.242867587776,34.54768109063964,34.13481890357519
original_glcm_Id,0.2638047630440618,0.24803663441104587,0.361486838751102,0.34523221008545374
original_glcm_Idm,0.18787215369500107,0.17167984125159544,0.29066043474418174,0.27055084047692446
original_glcm_Idmn,0.9837007547097572,0.9810457273636881,0.9887792090142062,0.9891337868844817
original_glcm_Idn,0.9228326062505398,0.9199557551310098,0.9393161016303397,0.938847359678088
original_glcm_Imc1,-0.20670639279851008,-0.15336958052662025,-0.2252680155580626,-0.21637538515536436
