diagnostics_Image-original_Hash,83cef79e9db00927fdd629a802c8e4285ff46733,0ad74b934f63b25e0497aecc4970b967f6935edc,e867abe4fdad471c793a4e52e5ef1256e58b550d,5d7acdbd3fe96844e0885b124aa12f72abaf154f
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 174)","(512, 512, 217)","(512, 512, 209)","(512, 512, 241)"
original_firstorder_RobustMeanAbsoluteDeviation,149.83787790343152,282.9628564847437,191.2657854868846,191.51680900425393
original_firstorder_RootMeanSquared,722.5053571149124,735.6724280052456,706.7679547589046,689.5628005716401
original_firstorder_Skewness,1.7886465495387045,0.9506749588820033,1.268645993130497,1.158517967482647
original_firstorder_TotalEnergy,2393956163.0,4306439172.0,3411728033.0,2917648708.0
original_firstorder_Uniformity,0.06828315153211893,0.04125961446444364,0.04879476257746699,0.042776435136472044
original_firstorder_Variance,145459.9521643261,202792.37382595395,123695.03752373581,113363.1953282103
original_glcm_Autocorrelation,437.43497500249225,580.4078332699352,470.19195005944954,467.68597818864777
original_glcm_ClusterProminence,3119511.142128738,3101276.56779237,1720499.1009871603,1320165.7059734683
original_glcm_ClusterShade,39039.55580463345,34925.833907796004,24513.635021859947,19236.403761439924
original_glcm_ClusterTendency,764.0427499224552,1116.7261924581087,745.6378667419916,678.347384860472
original_glcm_Contrast,109.65710290750866,211.91440242341875,81.13531362063873,74.55664356465194
original_glcm_Correlation,0.7428971883850826,0.6820171890926454,0.8049023483970217,0.8031570064762766
original_glcm_DifferenceAverage,6.130029909958206,9.65160551832537,5.696884930243883,5.5785474123414795
original_glcm_DifferenceEntropy,3.9725866109983694,4.715880083877434,3.933858242279805,3.920679601619454
original_glcm_DifferenceVariance,69.5339514379632,115.18771352434149,46.316518327667985,41.22103693260135
original_glcm_Id,0.35842163215393896,0.25584677284434565,0.356059747196869,0.34664140040125385
original_glcm_Idm,0.29059498567307895,0.17920617858706628,0.2881526555347665,0.27546913526602207
original_glcm_Idmn,0.9773973191875955,0.9659300926814477,0.9758512994222979,0.9758964095334727
original_glcm_Idn,0.9234841388637829,0.8950254275619527,0.915058541555439,0.9132396781206709
original_glcm_Imc1,-0.18526516388806266,-0.1300130799947897,-0.1855559470782322,-0.18872929748128237
original_glcm_Imc2,0.894899304167702,0.8570326422720751,0.9030298272572713,0.9090801757591966
original_glcm_InverseVariance,0.2727232991116082,0.1400852383666738,0.2634833685741031,0.2570585601922597
original_glcm_JointAverage,16.54381673055419,18.818979778191753,17.4365389358724,17.796294670494365
original_glcm_JointEnergy,0.009448487359010323,0.004147140794849585,0.005777771836045055,0.004709836661395032
original_glcm_JointEntropy,8.484994625324093,9.952416582708192,9.044746788450594,9.170465605317403
original_glcm_MCC,0.7570170274773607,0.7189070195430849,0.8149702647568002,0.8108393551055381
original_glcm_MaximumProbability,0.03718666159989982,0.048982435839088484,0.028373222513008375,0.022743989023263172
original_glcm_SumAverage,33.087633461108375,37.63795955638356,34.8730778717448,35.5925893409887
original_glcm_SumEntropy,5.618524222461572,6.365703548190766,5.953744024053673,6.025483877990078
original_glcm_SumSquares,218.42496320749103,332.16014872038187,206.69329509065744,188.22600710628083
original_gldm_DependenceEntropy,7.339554490999058,7.496450529556565,7.706143049622808,7.705296862350167
original_gldm_DependenceNonUniformity,631.4976013955517,1751.0382053537764,919.402635431918,879.5169491525423
original_gldm_DependenceNonUniformityNormalized,0.13770117780103613,0.22006261220985002,0.13461239171770395,0.14333718206527743
original_gldm_DependenceVariance,8.835142089474232,9.964754504184384,10.655697261886132,9.331488753826775
original_gldm_GrayLevelNonUniformity,313.1465329262974,328.302752293578,333.26822840409955,262.4762059973924
original_gldm_GrayLevelVariance,232.7834512269181,322.78950723719225,198.0699852729646,181.46922037892944
original_gldm_HighGrayLevelEmphasis,520.7686436982119,657.7388462988564,487.07994143484626,485.9990221642764
original_gldm_LargeDependenceEmphasis,24.501962494548625,19.529847932637928,27.61610541727672,24.287809647979138
original_gldm_LargeDependenceHighGrayLevelEmphasis,5069.829699084169,4077.8733190901094,11973.947584187408,7736.432855280313
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.3894711901969335,14.1684792473024,0.5941001818666741,0.4860593005629659
original_gldm_LowGrayLevelEmphasis,0.013317746929898342,0.16051004676260844,0.017156374663029057,0.014115964642548344
original_gldm_SmallDependenceEmphasis,0.3182702158096898,0.4420057817169323,0.30759267696816367,0.31126387428140634
original_gldm_SmallDependenceHighGrayLevelEmphasis,271.08398393282414,355.25333683776745,191.37918424191753,198.92439976256603
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0026286213114043184,0.01713513619499869,0.002612934819011153,0.002411585693570146
original_glrlm_GrayLevelNonUniformity,245.14596250267945,251.45614671710592,265.85445070945985,214.4866079465752
original_glrlm_GrayLevelNonUniformityNormalized,0.0602405430927256,0.03432708132401076,0.04415892383978375,0.03924402600145682
